Orthogroup	V_vinifera.proteins	A_vesiculosa.proteins
OG0000098	VIT_202s0025g03680.1	Av_00010415-RA, Av_00005476-RA, Av_00018555-RA, Av_00023364-RA
OG0000102	VIT_212s0028g02250.1, VIT_212s0028g02300.1, VIT_212s0028g02290.1, VIT_212s0028g02260.2, VIT_212s0028g02260.1, VIT_212s0028g02260.3	Av_00005016-RA, Av_00021401-RA, Av_00014100-RA, Av_00014101-RA, Av_00010561-RA, Av_00025037-RA, Av_00025035-RA
OG0000103	VIT_219s0027g00390.1	Av_00007835-RA, Av_00000217-RA
OG0000103	VIT_219s0014g01530.3, VIT_219s0014g01530.1, VIT_219s0014g01530.2, VIT_215s0024g01320.1	Av_00018171-RA
OG0000104	VIT_208s0007g02700.1	Av_00018015-RA
OG0000104	VIT_208s0007g02710.1	Av_00015686-RA
OG0000105	VIT_210s0116g00440.1, VIT_219s0015g00770.6, VIT_219s0015g00770.4, VIT_219s0015g00770.3, VIT_219s0015g00770.5, VIT_219s0015g00770.2, VIT_219s0015g00770.1	Av_00010637-RA, Av_00014174-RA, Av_00007451-RA, Av_00003719-RA, Av_00003052-RA, Av_00015716-RA
OG0000105	VIT_208s0007g03600.1, VIT_208s0007g03600.2	Av_00015656-RA, Av_00022221-RA, Av_00020946-RA
OG0000106	VIT_203s0038g03490.1, VIT_203s0038g03510.1, VIT_203s0038g03780.1, VIT_203s0038g03790.1, VIT_203s0038g03485.1, VIT_203s0038g03770.1, VIT_203s0038g03756.1, VIT_203s0038g03760.1, VIT_203s0038g03465.1, VIT_203s0038g03480.1, VIT_203s0038g03470.1, VIT_203s0038g03500.1, VIT_203s0038g03520.1	Av_00011369-RA, Av_00004576-RA, Av_00004300-RA, Av_00013001-RA, Av_00011131-RA, Av_00024896-RA, Av_00025104-RA, Av_00004577-RA, Av_00000933-RA, Av_00004301-RA, Av_00007250-RA, Av_00023239-RA, Av_00011132-RA
OG0000107	VIT_201s0011g04180.1	Av_00000247-RA, Av_00006353-RA
OG0000107	VIT_214s0006g02480.3, VIT_214s0006g02480.2, VIT_214s0006g02480.1, VIT_214s0006g02480.4, VIT_214s0006g02480.6, VIT_214s0006g02480.5	Av_00007784-RA
OG0000108	VIT_207s0005g02660.7, VIT_207s0005g02660.3, VIT_207s0005g02660.8, VIT_207s0005g02660.4, VIT_207s0005g02660.1	Av_00010829-RA, Av_00005367-RA
