"","beta0","betaTime","betaTime2","betaTime3","betaTime4","betaTime5","betaTime6"
"Dm_00000230-RA",3.00078213895258,0,0,8.85159984010418e-11,-1.73755610611886e-14,0,0
"Dm_00000243-RA",3.99072080409462,0,1.04155202754704e-05,-2.76000626601198e-08,2.32596375439971e-11,-7.48680703901546e-15,7.99101716806718e-19
"Dm_00000238-RA",4.70447011469695,0.00283316926596726,-3.05115179923173e-06,1.16474235877795e-09,-1.37607535970098e-13,0,0
"Dm_00000239-RA",5.64184163853416,0.0263655169321918,-0.000157760864295148,2.9382856950677e-07,-2.17518222817288e-10,6.60024577729551e-14,-6.83197396891096e-18
"Dm_00001113-RA",4.7214296273219,0.0193311940143394,-0.000173084092420342,3.62360443728863e-07,-2.81144473977849e-10,8.71768343795064e-14,-9.12567637871849e-18
"Dm_00001111-RA",3.52084605232631,0.0010675914429592,-8.26519726086193e-07,0,0,5.26257000664442e-17,-1.03865949857197e-20
"Dm_00001119-RA",4.87014668743869,0.008581317390676,-9.46244067343036e-06,3.54644099243331e-09,-4.12665078714128e-13,0,0
"Dm_00001275-RA",3.92138537358746,0,1.72826510741519e-06,-1.51295873725291e-09,0,2.17921726556393e-16,-3.65180678840367e-20
"Dm_00001180-RA",3.9582038114902,0.000852617368208008,0,0,0,0,0
"Dm_00001189-RA",2.07499345899303,0.0399860740391621,-0.000243673630874172,4.60512489376376e-07,-3.43702599987821e-10,1.04731173488559e-13,-1.08655570138221e-17
"Dm_00001202-RA",3.1618267302178,0.0449401924383068,-0.000326232808735709,6.49200450789638e-07,-4.94790690718888e-10,1.52266460413758e-13,-1.58800860858491e-17
"Dm_00001205-RA",3.66862112392247,0.00293923866374571,-3.40244429256316e-06,1.32965516207936e-09,-1.58342425569749e-13,0,0
"Dm_00000003-RA",2.68524227130575,0,7.90347810339528e-05,-2.01935473521382e-07,1.6793540824349e-10,-5.37440789037805e-14,5.72009157292116e-18
"Dm_00000006-RA",3.66512340317743,0.0286389397230248,-0.000201765127264294,3.93234814812891e-07,-2.95942176842564e-10,9.04167181055827e-14,-9.38944882465829e-18
"Dm_00000036-RA",6.08474068664131,0,-3.05615538525909e-06,4.18462302999228e-09,-1.65408342448071e-12,1.9584427623856e-16,0
"Dm_00000047-RA",3.21749982253835,0,6.41605361951019e-05,-1.61430450270468e-07,1.33475450048975e-10,-4.26006943873505e-14,4.52749084980921e-18
"Dm_00000050-RA",4.24785989467074,0.0113921974073661,-9.33442138198947e-05,1.92133688736532e-07,-1.48607175684999e-10,4.60718834534027e-14,-4.82466989339384e-18
"Dm_00001071-RA",4.26620971950482,0,9.5321894487794e-05,-2.47989390115196e-07,2.07866210880202e-10,-6.67809402535403e-14,7.12236515378596e-18
"Dm_00001084-RA",1.7850857991932,0.0626951516817705,-0.000461348093992777,9.20893156972026e-07,-7.01726300648352e-10,2.15813592975585e-13,-2.2495377808622e-17
"Dm_00001079-RA",3.89577062367979,0.00977184473669453,-2.78823037419636e-05,2.51018631065241e-08,-8.43855056047805e-12,9.25805883579366e-16,0
"Dm_00001083-RA",2.03738465376691,0.0374377563239217,-0.000261392498440467,5.1755307432113e-07,-3.93804243200316e-10,1.2109985573441e-13,-1.26248169533486e-17
"Dm_00001097-RA",3.10986130373513,0.0204168980686793,-0.000122706044781418,2.2818807546931e-07,-1.68411776716272e-10,5.09707088027907e-14,-5.26624002350196e-18
"Dm_00001098-RA",5.10617604279563,0,1.2749750930261e-06,-1.51626148436267e-09,5.60206385534863e-13,-6.38809671873096e-17,0
"Dm_00000671-RA",5.69857774956395,-0.00037860901074301,6.15742663877948e-08,0,0,0,0
"Dm_00000683-RA",0,0,0.000116265314185708,-2.85807128915789e-07,2.33408978298921e-10,-7.39924224356263e-14,7.83267963284643e-18
"Dm_00000698-RA",3.62857847965142,0.00237622501119866,-2.79444216199094e-06,1.05771742344968e-09,-1.22449758439717e-13,0,0
"Dm_00000687-RA",3.83069270402751,0,-5.4292137911363e-06,6.83580962773679e-09,-2.58871273023903e-12,2.99865017576104e-16,0
"Dm_00000700-RA",3.46314473689686,0.0289066273449836,-0.000222993854471085,4.47813004636601e-07,-3.41805326879217e-10,1.0519856473124e-13,-1.09699169553854e-17
"Dm_00000701-RA",4.63905008437852,0,0,1.94144476971891e-09,-2.40460885852969e-12,9.04778938746743e-16,-1.04582147072616e-19
"Dm_00000722-RA",3.56450661818285,0.0479560554300768,-0.000344108056790657,6.7951405610213e-07,-5.15073229882702e-10,1.57979383955641e-13,-1.64422229084257e-17
"Dm_00000723-RA",3.66842277931853,0.0442761267782534,-0.000317342290091734,6.32000487126874e-07,-4.8216459703428e-10,1.48475151017031e-13,-1.54905456559118e-17
"Dm_00000868-RA",1.91525971548254,0,8.50705473738438e-06,-9.47187509200725e-09,3.40248150874154e-12,-3.84300591166666e-16,0
"Dm_00000878-RA",3.66700711889389,-0.00161196604180227,8.33109640058555e-07,-1.386378751901e-10,0,0,0
"Dm_00000889-RA",4.3675241195078,0.00329141863765003,-1.06622730409895e-05,9.92090283208545e-09,-3.35779198597679e-12,3.68188937011955e-16,0
"Dm_00000901-RA",2.96083087207318,0,0,0,0,8.57122744289798e-18,-1.84533707766238e-21
