target_id	length	eff_length	est_counts	tpm
Dm_00016360-RA	729	530.676	146.724	85.5876
Dm_00016573-RA	828	629.622	0	0
Dm_00016794-RA	300	111.309	5	13.9053
Dm_00016795-RA	1596	1397.62	4	0.88595
Dm_00016796-RA	996	797.622	168	65.2005
Dm_00016851-RA	474	276.595	48	53.7201
Dm_00016852-RA	903	704.622	133	58.4298
Dm_00016853-RA	486	288.312	174	186.821
Dm_00015446-RA	921	722.622	173	74.1095
Dm_00015447-RA	1707	1508.62	73	14.979
Dm_00015448-RA	213	42.7685	0	0
Dm_00016595-RA	462	264.73	0	0
Dm_00016594-RA	123	24.7407	0	0
Dm_00016593-RA	642	443.816	0	0
Dm_00016821-RA	441	244.063	138	175.032
Dm_00016822-RA	1629	1430.62	73	15.7956
Dm_00016684-RA	702	503.676	0	0
Dm_00016683-RA	432	235.182	0	0
Dm_00012635-RA	1389	1190.62	26.8897	6.99119
Dm_00012636-RA	414	217.678	14.087	20.0328
Dm_00016618-RA	1359	1160.62	58	15.4695
Dm_00016620-RA	1776	1577.62	4	0.784867
Dm_00016619-RA	1482	1283.62	503	121.303
Dm_00014798-RA	2283	2084.62	109	16.186
Dm_00011746-RA	930	731.622	128	54.158
Dm_00011542-RA	1021	822.622	39	14.6759
Dm_00010486-RA	1644	1445.62	15.6913	3.36004
Dm_00010485-RA	1428	1229.62	67	16.8672
Dm_00010422-RA	414	217.678	248	352.676
Dm_00011754-RA	3204	3005.62	147	15.1399
Dm_00011753-RA	645	446.816	3	2.07841
Dm_00009498-RA	1365	1166.62	10	2.65344
Dm_00011041-RA	1488	1289.62	6	1.44022
Dm_00011039-RA	1860	1661.62	105	19.5612
Dm_00011042-RA	1821	1622.62	28	5.3417
Dm_00011040-RA	693	494.726	0	0
Dm_00011615-RA	491	293.312	40	42.2152
Dm_00011011-RA	1350	1151.62	7186	1931.6
Dm_00011010-RA	780	581.622	4	2.12891
Dm_00011009-RA	318	127.279	130	316.173
Dm_00011012-RA	555	356.974	58	50.2956
Dm_00010884-RA	1794	1595.62	40	7.76013
Dm_00010885-RA	1833	1634.62	0	0
Dm_00010886-RA	2370	2171.62	34	4.84656
Dm_00010883-RA	421	224.435	0	0
Dm_00011896-RA	1632	1433.62	30	6.47777
Dm_00011895-RA	1569	1370.62	47	10.615
Dm_00011897-RA	339	146.5	5	10.5651
Dm_00011629-RA	759	560.622	0	0
Dm_00011576-RA	834	635.622	156	75.974
Dm_00011577-RA	966	767.622	678	273.414
Dm_00011578-RA	3969	3770.62	6	0.492581
Dm_00011579-RA	2337	2138.62	88	12.7376
Dm_00011335-RA	609	410.816	0	0
Dm_00011336-RA	987	788.622	0	0
Dm_00011259-RA	1701	1502.62	23	4.73824
Dm_00011260-RA	840	641.622	107	51.623
Dm_00011548-RA	1257	1058.62	209	61.1145
Dm_00011549-RA	5361	5162.62	132	7.91485
Dm_00011551-RA	1278	1079.62	39	11.1823
Dm_00011550-RA	1620	1421.62	30	6.53245
Dm_00010412-RA	1710	1511.62	0	0
Dm_00011170-RA	2586	2387.62	1887	244.65
Dm_00011173-RA	1194	995.622	211.395	65.7264
Dm_00011172-RA	324	132.7	0	0
Dm_00011171-RA	300	111.309	449	1248.69
Dm_00010857-RA	216	44.9356	134	923.111
Dm_00012261-RA	747	548.622	43	24.2624
Dm_00012260-RA	756	557.622	832	461.873
Dm_00011061-RA	1401	1202.62	15	3.86101
Dm_00011060-RA	264	81.3241	7	26.6451
Dm_00010499-RA	993	794.622	6	2.33738
Dm_00010497-RA	696	497.726	6	3.73164
Dm_00010496-RA	1374	1175.62	36	9.47925
Dm_00010495-RA	489	291.312	105	111.576
Dm_00010498-RA	2067	1868.62	172	28.4935
Dm_00011718-RA	1557	1358.62	22	5.0126
Dm_00011717-RA	2472	2273.62	25	3.40377
Dm_00011719-RA	885	686.622	113	50.9448
Dm_00011716-RA	807	608.622	6	3.05171
Dm_00011715-RA	486	288.312	10	10.7368
Dm_00010859-RA	1329	1130.62	89	24.3675
Dm_00009199-RA	1020	821.622	33	12.4331
Dm_00010384-RA	3567	3368.62	128	11.7624
Dm_00011488-RA	723	524.676	12	7.07994
Dm_00011489-RA	996	797.622	0	0
Dm_00011490-RA	477	279.483	64	70.8864
Dm_00010733-RA	1383	1184.62	0	0
Dm_00011429-RA	3591	3392.62	69	6.29583
