"","LT_Time5_1","LT_Time5_2","LT_Time5_3","LT_Time5_4","LT_Time60_1","LT_Time60_2","LT_Time60_3","LT_Time60_4","LT_Time180_1","LT_Time180_2","LT_Time180_3","LT_Time180_4","LT_Time720_1","LT_Time720_2","LT_Time720_3","LT_Time720_4","LT_Time1440_1","LT_Time1440_2","LT_Time1440_3","LT_Time2880_1","LT_Time2880_2","LT_Time2880_3","LT_Time2880_4","LT_Time4320_1","LT_Time4320_2","LT_Time4320_3","LT_Time4320_4"
"Dm_00005080-RA",17.1599982919094,22.7739286570948,20.6710849360289,24.6335157793915,5.01721280276738,11.3263857784493,8.78320280575511,9.14990363457435,9.30912959749037,11.0755034139492,9.98707405236615,17.0277294718394,11.3144657525034,13.0367652363309,19.1523801808559,10.6702776560265,10.7873590325436,7.6769953559248,7.53910272968545,10.8958467967793,16.4990981143399,8.58245372770175,9.39217703447992,11.5686567262115,10.193120671462,13.6439375625521,16.5531277146839
"Dm_00004788-RA",66.6268090104861,83.5760212038669,91.7208796068606,91.8607695452224,76.8964656097613,58.4338539024541,71.3442613870985,71.1078225315493,175.957810260761,85.3781525308321,228.556645526281,204.125098424611,73.8976044460381,132.975005410575,150.455762714285,90.1324630238472,59.8622458989037,95.1198448978,101.48792136115,61.4129546727563,71.8558852456297,103.692924546167,43.4823010855552,35.3229652040323,43.3207628537136,51.4103567356964,45.5810763157961
"Dm_00004918-RA",84.0744050391314,80.9978406011769,80.1992912818609,95.4857685227918,68.807489866524,83.1459683281616,81.3601944112052,81.0420036205157,68.216080820954,83.6576859810924,76.6221419099567,73.302298823894,70.7154109531465,62.5764731343884,71.5593906259838,57.2429013076244,68.3705854175296,54.862430226487,56.8332359622442,54.8094111595567,78.3321667484547,44.45992422875,52.7005489156929,59.2315224382027,61.1587240287721,61.2339917807339,57.3361959972383
"Dm_00004916-RA",1603.45324821495,1620.38650879065,2273.36751597005,1466.06492740559,1794.42151772446,1632.0292235311,2483.95138997846,1969.32068797853,2070.28937900909,1900.68542082492,1763.78276665804,2553.1211445886,1500.58102042577,808.279444652517,1086.15911284366,1219.54996974467,1520.4098850516,1615.35216916008,1852.2995475858,2145.16111026289,1960.46292921231,1494.1911243966,1035.40055344924,895.568279365116,651.085582889637,1326.29988258057,709.625388116447
"Dm_00004656-RA",62.4083254080438,54.3566410400471,51.3953204693616,35.5908990524987,157.138081061694,178.350676242493,161.874427710067,250.968785405468,70.5461101766013,101.399997275283,108.220589321541,298.400576232113,38.6183930756228,61.6331328018875,55.7420020189088,24.9810029829326,121.168478561826,52.105265430975,73.6135388455864,39.6212610791976,79.2565788343936,31.5158956558228,37.9165665466041,42.7892220063728,50.39147583549,45.1887212071726,34.3057574376781
"Dm_00004650-RA",0.191731824490608,0.859393534229994,1.35548097941173,0.494318042395816,3.58372343054813,3.08901430321343,5.08501215070033,2.48354527224161,28.5378235201754,39.4632014846541,519.491573248489,56.0669141145932,96.526535951045,305.060306530144,49.6437317125667,362.914972983206,81.1330946954684,232.74402993694,298.084523312179,275.697941676084,1.07938025047083,891.731011904486,254.806284361353,145.148079724866,54.7880236091084,197.782518906755,364.648610526369
"Dm_00005200-RA",230.078189388729,373.191642239375,332.657623697296,372.633417626046,1172.90148276939,1012.1670200196,1362.62916511039,915.774640911827,934.728176797189,703.563289684174,1558.96588732181,783.483210942074,259.525558198048,357.207367475467,304.627658896498,397.43645951741,801.303261093447,812.825288782184,785.806476824907,311.687253823021,251.649795538343,726.131863748667,354.293789245104,328.858348537104,263.74699737408,365.111769173895,251.175720540203
"Dm_00005205-RA",6.13541838369944,9.02363210941494,5.64783741421556,14.2528368890794,2.8669787444385,9.52446076824142,6.00955981446402,6.2742196351367,46.0878219416736,20.8606569155937,111.98620740686,46.0994627164433,13.7895051358636,46.9323548507913,9.52854735365963,37.9108688484705,6.22932000470825,5.80455746423582,15.6581364385775,6.93372068885959,7.24726739601845,13.9289003121717,15.4796991864576,9.56342289366814,7.64484050359652,4.69351452151793,9.5960160664834
"Dm_00004521-RA",37.867035336895,17.8324158352724,13.441853045833,13.9232915274821,15.7683830944118,40.929439517578,26.0414258626774,26.9268592674617,8.85130355171215,20.9681860749525,7.36751364518814,43.6075998669058,15.910967464458,26.0735304726618,18.0089544984167,35.2746826040405,17.4724829400353,30.3334938453614,29.5764799395352,68.3466753616159,41.9416325897238,94.5476869674684,46.7869559680574,52.9073234278737,64.9811442805704,93.3245329278565,75.0888257202326
"Dm_00004529-RA",6.23128429594475,12.4612062463349,12.5381990595585,11.8636330174996,14.3348937221925,16.2173250918705,23.5759654259742,11.2413101796199,111.404337806032,24.9467649712255,252.623856767229,30.3176646693726,81.3227225961185,320.704424813741,45.6417418240296,295.880522767699,39.1991356393836,354.265249107554,110.186886049249,587.055018323445,6.16788714554761,470.768691358853,229.238691323047,134.042169267703,208.958973764971,330.947349517264,306.592713324144
