Orthogroup	D_spatulata.proteins	D_muscipula.proteins
OG0000021	Ds_00011994-RA	Dm_00010156-RA
OG0000022	Ds_00003849-RA, Ds_00003832-RA, Ds_00007689-RA, Ds_00013775-RA, Ds_00009114-RA, Ds_00005092-RA	Dm_00000930-RA, Dm_00015701-RA, Dm_00015702-RA, Dm_00009848-RA, Dm_00003334-RA, Dm_00019069-RA, Dm_00013792-RA, Dm_00003326-RA, Dm_00016056-RA, Dm_00003333-RA, Dm_00013632-RA, Dm_00009088-RA, Dm_00003335-RA, Dm_00009089-RA, Dm_00006414-RA, Dm_00008820-RA, Dm_00007966-RA, Dm_00016057-RA, Dm_00009847-RA, Dm_00003325-RA, Dm_00013793-RA, Dm_00001426-RA, Dm_00020487-RA
OG0000023	Ds_00005184-RA, Ds_00006219-RA	Dm_00006652-RA
OG0000023	Ds_00016053-RA	Dm_00007864-RA, Dm_00007863-RA
OG0000024	Ds_00007357-RA, Ds_00007354-RA	Dm_00016700-RA, Dm_00004789-RA, Dm_00009149-RA, Dm_00014846-RA, Dm_00017809-RA
OG0000025	Ds_00008906-RA	Dm_00003443-RA
OG0000025	Ds_00008905-RA	Dm_00007239-RA
OG0000026	Ds_00007462-RA, Ds_00016878-RA, Ds_00016880-RA, Ds_00001750-RA	Dm_00006966-RA, Dm_00006968-RA, Dm_00006808-RA
OG0000026	Ds_00002475-RA	Dm_00005746-RA, Dm_00012208-RA, Dm_00012362-RA, Dm_00004585-RA, Dm_00020406-RA
OG0000026	Ds_00016879-RA, Ds_00016881-RA	Dm_00006967-RA
OG0000027	Ds_00016246-RA	Dm_00014996-RA
OG0000027	Ds_00016163-RA	Dm_00013634-RA
OG0000027	Ds_00002306-RA	Dm_00019371-RA
OG0000027	Ds_00000646-RA	Dm_00004939-RA
OG0000027	Ds_00007953-RA, Ds_00009832-RA	Dm_00004749-RA, Dm_00000738-RA
