Orthogroup	A_vesiculosa.proteins	A_hypochondriacus.proteins
OG0000217	Av_00020112-RA, Av_00024943-RA, Av_00022548-RA, Av_00020119-RA, Av_00017471-RA, Av_00017469-RA, Av_00023791-RA, Av_00020115-RA, Av_00024487-RA, Av_00024081-RA, Av_00022549-RA, Av_00020117-RA, Av_00017485-RA, Av_00020111-RA, Av_00022551-RA, Av_00017477-RA, Av_00023250-RA, Av_00017481-RA, Av_00020121-RA, Av_00020110-RA, Av_00001118-RA, Av_00018235-RA	AH006817-RA, AH006820-RA
OG0000218	Av_00012318-RA	AH021003-RA
OG0000218	Av_00022649-RA, Av_00022097-RA	AH018419-RA
OG0000219	Av_00012929-RA	AH012080-RA
OG0000220	Av_00018653-RA	AH018373-RA
OG0000220	Av_00003043-RA	AH018372-RA
OG0000220	Av_00000134-RA	AH018371-RA
OG0000220	Av_00000133-RA	AH002688-RA
OG0000221	Av_00012992-RA	AH016860-RA
OG0000221	Av_00006316-RA	AH015847-RA, AH019151-RA
OG0000222	Av_00018681-RA	AH018451-RA, AH011549-RA
OG0000222	Av_00005942-RA, Av_00005628-RA	AH019420-RA, AH010384-RA, AH019521-RA
OG0000222	Av_00019951-RA, Av_00001491-RA	AH012987-RA
OG0000222	Av_00020751-RA, Av_00023020-RA	AH012396-RA
OG0000224	Av_00008716-RA, Av_00003651-RA	AH021647-RA, AH015222-RA
OG0000224	Av_00023780-RA, Av_00008534-RA, Av_00013126-RA, Av_00022314-RA, Av_00020261-RA	AH000336-RA, AH001344-RA
OG0000227	Av_00022148-RA	AH019119-RA
OG0000227	Av_00004995-RA, Av_00003894-RA, Av_00005737-RA, Av_00016728-RA, Av_00016727-RA, Av_00022907-RA, Av_00022213-RA	AH022956-RA, AH016463-RA
OG0000228	Av_00020419-RA, Av_00011597-RA, Av_00018603-RA	AH003360-RA
OG0000228	Av_00011221-RA, Av_00009247-RA, Av_00015029-RA	AH002970-RA, AH017354-RA
OG0000229	Av_00019979-RA, Av_00012518-RA, Av_00017907-RA, Av_00001955-RA	AH003810-RA, AH005782-RA
OG0000230	Av_00012766-RA	AH023644-RA
OG0000230	Av_00022270-RA, Av_00014614-RA, Av_00008578-RA	AH009416-RA
OG0000231	Av_00000905-RA, Av_00015481-RA, Av_00020742-RA, Av_00021489-RA	AH004765-RA
OG0000232	Av_00002446-RA, Av_00015772-RA, Av_00022924-RA	AH008127-RA
