"Dm_00003954-RA",2	"Dm_00003954-RA",2
"Dm_00003966-RA",2	"Dm_00003966-RA",5
"Dm_00003990-RA",2	"Dm_00003990-RA",2
"Dm_00003991-RA",2	"Dm_00003991-RA",2
"Dm_00003994-RA",2	"Dm_00003994-RA",5
"Dm_00004005-RA",1	"Dm_00004005-RA",3
"Dm_00004014-RA",1	"Dm_00004014-RA",6
"Dm_00004016-RA",1	"Dm_00004016-RA",6
"Dm_00004017-RA",2	"Dm_00004017-RA",2
"Dm_00004018-RA",2	"Dm_00004018-RA",2
"Dm_00004033-RA",2	"Dm_00004033-RA",2
"Dm_00004062-RA",2	"Dm_00004062-RA",1
"Dm_00004077-RA",2	"Dm_00004077-RA",4
"Dm_00004084-RA",2	"Dm_00004084-RA",6
"Dm_00004102-RA",2	"Dm_00004102-RA",5
"Dm_00004106-RA",2	"Dm_00004106-RA",4
"Dm_00004126-RA",2	"Dm_00004126-RA",1
"Dm_00004129-RA",2	"Dm_00004129-RA",1
"Dm_00004140-RA",2	"Dm_00004140-RA",1
"Dm_00004147-RA",2	"Dm_00004147-RA",7
"Dm_00004152-RA",2	"Dm_00004152-RA",5
"Dm_00004175-RA",1	"Dm_00004175-RA",3
"Dm_00004182-RA",2	"Dm_00004182-RA",7
"Dm_00004204-RA",2	"Dm_00004204-RA",5
"Dm_00004226-RA",2	"Dm_00004226-RA",4
"Dm_00004252-RA",1	"Dm_00004252-RA",4
"Dm_00004273-RA",2	"Dm_00004273-RA",2
"Dm_00004325-RA",2	"Dm_00004325-RA",2
"Dm_00004346-RA",2	"Dm_00004346-RA",8
"Dm_00004360-RA",2	"Dm_00004360-RA",2
"Dm_00004381-RA",2	"Dm_00004381-RA",4
"Dm_00004414-RA",2	"Dm_00004414-RA",8
"Dm_00004423-RA",1	"Dm_00004423-RA",3
"Dm_00004485-RA",2	"Dm_00004485-RA",4
"Dm_00004492-RA",1	"Dm_00004492-RA",4
"Dm_00004521-RA",1	"Dm_00004521-RA",4
"Dm_00004548-RA",2	"Dm_00004548-RA",2
"Dm_00004600-RA",1	"Dm_00004600-RA",5
"Dm_00004617-RA",2	"Dm_00004617-RA",3
"Dm_00004631-RA",2	"Dm_00004631-RA",2
"Dm_00004635-RA",2	"Dm_00004635-RA",2
"Dm_00004637-RA",2	"Dm_00004637-RA",2
"Dm_00004639-RA",2	"Dm_00004639-RA",2
"Dm_00004654-RA",1	"Dm_00004654-RA",6
"Dm_00004669-RA",2	"Dm_00004669-RA",2
"Dm_00004671-RA",2	"Dm_00004671-RA",5
"Dm_00004700-RA",2	"Dm_00004700-RA",2
"Dm_00004734-RA",2	"Dm_00004734-RA",7
"Dm_00004771-RA",2	"Dm_00004771-RA",2
"Dm_00004778-RA",2	"Dm_00004778-RA",7
"Dm_00004800-RA",2	"Dm_00004800-RA",4
"Dm_00004817-RA",2	"Dm_00004817-RA",5
"Dm_00004852-RA",2	"Dm_00004852-RA",5
"Dm_00004866-RA",2	"Dm_00004866-RA",7
"Dm_00004877-RA",2	"Dm_00004877-RA",4
"Dm_00004916-RA",2	"Dm_00004916-RA",5
"Dm_00004920-RA",2	"Dm_00004920-RA",7
"Dm_00004927-RA",2	"Dm_00004927-RA",1
"Dm_00004940-RA",1	"Dm_00004940-RA",4
"Dm_00004954-RA",1	"Dm_00004954-RA",4
"Dm_00004960-RA",2	"Dm_00004960-RA",3
"Dm_00004986-RA",1	"Dm_00004986-RA",4
"Dm_00004998-RA",1	"Dm_00004998-RA",6
"Dm_00005031-RA",1	"Dm_00005031-RA",6
"Dm_00005045-RA",2	"Dm_00005045-RA",5
"Dm_00005072-RA",1	"Dm_00005072-RA",6
"Dm_00005074-RA",1	"Dm_00005074-RA",6
"Dm_00005080-RA",1	"Dm_00005080-RA",6
"Dm_00005083-RA",2	"Dm_00005083-RA",3
"Dm_00005084-RA",1	"Dm_00005084-RA",8
"Dm_00005135-RA",2	"Dm_00005135-RA",2
"Dm_00005141-RA",1	"Dm_00005141-RA",4
"Dm_00005161-RA",2	"Dm_00005161-RA",1
"Dm_00005189-RA",2	"Dm_00005189-RA",2
