Orthogroup	A_hypochondriacus.proteins	S_lycopersicum.proteins
OG0009319	AH008603-RA	Solyc06g072890.2.1
OG0009320	AH010725-RA	Solyc08g080000.3.1
OG0009321	AH006315-RA	Solyc06g083790.3.1
OG0009322	AH012507-RA	Solyc09g014930.1.1
OG0009323	AH019112-RA	Solyc05g056270.3.1
OG0009324	AH020463-RA, AH006709-RA	Solyc02g068640.3.1
OG0009325	AH022724-RA, AH011230-RA	Solyc01g100700.3.1
OG0009326	AH003773-RA	Solyc06g008980.3.1
OG0009327	AH010157-RA	Solyc03g051920.3.1
OG0009328	AH002749-RA	Solyc01g080840.3.1
OG0009329	AH017748-RA	Solyc09g025240.3.1
OG0009330	AH010452-RA	Solyc01g098870.3.1
OG0009331	AH017886-RA	Solyc06g007630.1.1, Solyc06g082995.1.1
OG0009332	AH023075-RA	Solyc06g019200.3.1
OG0009333	AH005513-RA	Solyc04g005310.3.1
OG0009336	AH010613-RA	Solyc01g101250.3.1
OG0009337	AH015857-RA	Solyc11g011370.2.1
OG0009338	AH022957-RA	Solyc06g030570.3.1
OG0009339	AH020699-RA	Solyc07g008030.2.1
OG0009340	AH020472-RA, AH006737-RA	Solyc04g016420.3.1
OG0009341	AH017753-RA, AH007591-RA	Solyc09g066270.3.1
OG0009342	AH010691-RA	Solyc06g083570.3.1
OG0009343	AH006504-RA	Solyc09g092440.1.1
OG0009344	AH018946-RA	Solyc10g081470.2.1
OG0009345	AH006706-RA	Solyc10g079740.2.1
OG0009346	AH015408-RA	Solyc01g101110.3.1
OG0009347	AH018041-RA	Solyc07g014610.3.1
OG0009348	AH007424-RA	Solyc12g011020.2.1, Solyc07g055980.3.1
OG0009349	AH011001-RA	Solyc11g065830.2.1
OG0009350	AH004178-RA	Solyc05g008320.1.1
OG0009351	AH011779-RA	Solyc12g098920.2.1
OG0009352	AH020101-RA	Solyc09g075730.3.1
OG0009354	AH017880-RA	Solyc09g047870.3.1
OG0009355	AH007442-RA	Solyc06g082950.3.1, Solyc06g082940.3.1
OG0009356	AH003888-RA	Solyc10g080045.1.1, Solyc10g080040.2.1
OG0009357	AH020181-RA	Solyc01g067620.3.1
OG0009358	AH007562-RA	Solyc01g099230.3.1
OG0009359	AH011777-RA	Solyc10g077020.2.1, Solyc10g081140.2.1
OG0009360	AH019063-RA	Solyc01g020440.3.1, Solyc01g020230.3.1, Solyc01g020220.2.1
OG0009361	AH008283-RA	Solyc07g065350.2.1, Solyc07g065360.2.1
OG0009362	AH021509-RA	Solyc10g005290.3.1
OG0009363	AH019341-RA	Solyc11g007000.2.1
OG0009364	AH022972-RA	Solyc04g011620.3.1
OG0009365	AH006840-RA	Solyc03g053110.3.1
OG0009366	AH002429-RA, AH002564-RA	Solyc09g055910.3.1
OG0009367	AH013665-RA, AH010610-RA	Solyc03g098120.3.1
OG0009368	AH006443-RA	Solyc03g033450.3.1
OG0009369	AH017693-RA	Solyc01g079520.3.1
OG0009370	AH002530-RA	Solyc09g010030.2.1
OG0009371	AH000294-RA, AH002707-RA	Solyc01g100590.3.1
OG0009371	AH017790-RA	Solyc01g079310.3.1
OG0009373	AH006308-RA	Solyc05g016330.3.1, Solyc11g040224.1.1
OG0009374	AH000374-RA, AH000375-RA	Solyc02g079260.2.1
OG0009375	AH007084-RA, AH020100-RA	Solyc09g075740.1.1, Solyc06g054280.1.1
OG0009376	AH014476-RA, AH020913-RA	Solyc12g049420.2.1, Solyc03g122090.3.1, Solyc06g063030.3.1
OG0009377	AH002479-RA, AH016901-RA	Solyc04g082750.3.1
OG0009382	AH019697-RA	Solyc03g082890.3.1
OG0009383	AH023759-RA	Solyc04g082680.3.1
OG0009384	AH005324-RA	Solyc10g044910.2.1
OG0009385	AH001600-RA	Solyc10g074590.2.1
OG0009386	AH009448-RA	Solyc11g027810.2.1
OG0009388	AH006454-RA	Solyc01g111450.3.1
OG0009389	AH010657-RA	Solyc04g009420.3.1
OG0009390	AH011751-RA	Solyc04g081220.3.1
OG0009391	AH000885-RA	Solyc11g044800.2.1
OG0009392	AH006175-RA, AH003900-RA	Solyc04g008840.3.1
OG0009393	AH008442-RA	Solyc04g064680.3.1
OG0009394	AH001897-RA	Solyc11g044870.2.1
OG0009395	AH008854-RA	Solyc06g060150.3.1
OG0009396	AH016925-RA	Solyc04g082930.2.1, Solyc04g082920.3.1
OG0009397	AH001605-RA	Solyc01g112290.3.1
OG0009398	AH008655-RA	Solyc04g063240.3.1
OG0009399	AH002313-RA	Solyc01g111890.3.1
OG0009400	AH006186-RA	Solyc02g064770.3.1, Solyc02g092770.3.1, Solyc02g092760.3.1
OG0009401	AH003794-RA	Solyc02g062420.3.1
OG0009402	AH008897-RA	Solyc04g082070.3.1
OG0009403	AH003607-RA	Solyc02g082290.3.1
OG0009404	AH021180-RA, AH014647-RA	Solyc01g107290.3.1
OG0009405	AH002274-RA, AH000805-RA	Solyc01g111630.3.1
OG0009406	AH000816-RA	Solyc01g111400.3.1
OG0009407	AH003346-RA	Solyc02g062130.3.1, Solyc02g083810.3.1
OG0009408	AH005620-RA	Solyc02g091880.3.1, Solyc03g043850.3.1
OG0009409	AH004954-RA, AH004297-RA	Solyc02g083150.3.1, Solyc02g061810.3.1
OG0009410	AH015506-RA	Solyc00g019730.2.1, Solyc03g013390.1.1
OG0009411	AH017201-RA	Solyc10g006330.3.1
OG0009412	AH010720-RA	Solyc01g104880.3.1
OG0009413	AH008536-RA	Solyc10g047950.2.1, Solyc01g106430.3.1
OG0009414	AH023668-RA	Solyc04g081730.3.1
OG0009415	AH020522-RA	Solyc10g081300.1.1
OG0009416	AH015829-RA	Solyc04g064570.3.1
OG0009417	AH000593-RA	Solyc09g091970.3.1
OG0009418	AH000550-RA	Solyc10g051095.1.1
OG0009419	AH003862-RA	Solyc02g064580.3.1
OG0009420	AH005802-RA	Solyc05g010180.3.1, Solyc07g021640.2.1
OG0009421	AH008545-RA	Solyc04g071930.3.1, Solyc12g056620.2.1
OG0009422	AH008602-RA	Solyc11g030710.2.1
OG0009424	AH016872-RA	Solyc12g011270.2.1
OG0009426	AH001909-RA	Solyc01g108270.3.1
OG0009427	AH002307-RA	Solyc04g082020.3.1
OG0009428	AH008433-RA	Solyc04g080360.3.1
OG0009429	AH005961-RA	Solyc04g054330.3.1, Solyc04g011570.3.1
OG0009430	AH000900-RA	Solyc02g068630.1.1
OG0009431	AH008431-RA, AH016949-RA	Solyc04g080200.3.1
OG0009432	AH005333-RA	Solyc01g104080.3.1
OG0009433	AH005618-RA, AH002924-RA	Solyc02g091900.3.1
OG0009434	AH007484-RA	Solyc03g120700.3.1
OG0009435	AH004961-RA	Solyc02g083250.3.1
OG0009438	AH001528-RA	Solyc05g008190.3.1
OG0009439	AH000950-RA	Solyc11g044360.2.1
OG0009440	AH001895-RA	Solyc01g108310.3.1, Solyc10g050550.2.1
OG0009441	AH008873-RA	Solyc11g012905.1.1
OG0009442	AH003731-RA	Solyc02g090820.3.1
OG0009443	AH001598-RA, AH000931-RA	Solyc01g112260.3.1
OG0009445	AH015469-RA	Solyc01g049950.1.1, Solyc09g050040.1.1, Solyc11g043190.1.1
OG0009446	AH008712-RA	Solyc04g074520.1.1
OG0009447	AH005668-RA	Solyc11g010510.2.1
OG0009448	AH008607-RA	Solyc04g079110.1.1
OG0009449	AH005892-RA, AH003952-RA	Solyc02g065370.3.1
OG0009450	AH004199-RA	Solyc01g103695.1.1
OG0009451	AH015275-RA	Solyc04g080160.3.1
OG0009452	AH001858-RA	Solyc01g109230.3.1
OG0009453	AH005953-RA	Solyc04g054520.3.1, Solyc04g054510.3.1
OG0009454	AH003611-RA	Solyc02g082230.3.1
OG0009455	AH021170-RA, AH014649-RA	Solyc01g104910.3.1
OG0009456	AH005321-RA	Solyc10g045630.2.1
OG0009457	AH006229-RA	Solyc04g009000.1.1
OG0009458	AH008825-RA	Solyc04g076080.3.1
OG0009459	AH010163-RA	Solyc06g053920.3.1
OG0009460	AH004593-RA	Solyc06g051440.3.1
OG0009461	AH020238-RA	Solyc04g083160.2.1
OG0009462	AH009720-RA	Solyc04g080800.3.1
OG0009463	AH007976-RA	Solyc06g065520.3.1
OG0009465	AH017190-RA	Solyc03g121480.3.1
OG0009466	AH003866-RA	Solyc02g092370.1.1
OG0009467	AH000941-RA, AH001601-RA	Solyc06g065200.4.1
OG0009468	AH021606-RA	Solyc02g078910.3.1
OG0009469	AH022054-RA	Solyc07g045260.2.1, Solyc07g042710.3.1
OG0009470	AH019308-RA, AH015626-RA	Solyc03g095300.3.1
OG0009471	AH015690-RA	Solyc03g095290.3.1
OG0009473	AH021330-RA	Solyc02g071210.3.1
OG0009475	AH018026-RA	Solyc04g053080.3.1
OG0009477	AH015250-RA	Solyc02g077780.3.1
OG0009478	AH021518-RA	Solyc11g065960.2.1, Solyc10g005350.3.1, Solyc03g031800.3.1, Solyc02g080160.3.1
OG0009479	AH021276-RA	Solyc04g058080.3.1
OG0009480	AH010188-RA	Solyc07g064550.3.1
OG0009481	AH005083-RA	Solyc12g015730.2.1
OG0009482	AH001920-RA	Solyc07g049270.3.1
OG0009483	AH010276-RA	Solyc12g011290.2.1
OG0009484	AH014884-RA	Solyc11g012520.1.1
OG0009485	AH007704-RA	Solyc08g006610.3.1
OG0009486	AH009998-RA	Solyc12g013500.2.1
OG0009488	AH021002-RA	Solyc08g075360.2.1, Solyc07g008340.3.1
OG0009489	AH006307-RA, AH003447-RA	Solyc07g043250.1.1
OG0009491	AH014860-RA	Solyc04g015070.3.1, Solyc11g012780.2.1
OG0009492	AH014802-RA	Solyc02g072240.3.1
OG0009493	AH007999-RA	Solyc12g014320.2.1
OG0009495	AH008012-RA	Solyc02g082500.1.1
OG0009497	AH002873-RA	Solyc01g107630.3.1
OG0009498	AH023763-RA	Solyc05g054150.3.1, Solyc11g012460.2.1
OG0009499	AH019227-RA	Solyc08g067470.3.1
OG0009500	AH014422-RA, AH020945-RA	Solyc05g046310.3.1
OG0009501	AH018997-RA	Solyc08g006700.3.1
OG0009502	AH013401-RA, AH022333-RA	Solyc03g122030.1.1
OG0009503	AH003122-RA	Solyc10g006730.1.1
OG0009504	AH002103-RA	Solyc06g066620.3.1
OG0009505	AH001933-RA	Solyc03g117430.3.1
OG0009506	AH011392-RA	Solyc05g048750.3.1
OG0009508	AH021022-RA	Solyc12g010540.1.1, Solyc07g006220.2.1
OG0009509	AH008430-RA	Solyc01g090690.3.1
OG0009510	AH016175-RA	Solyc08g066580.3.1
OG0009511	AH012391-RA	Solyc03g025795.1.1, Solyc03g025800.3.1
OG0009513	AH016343-RA	Solyc06g051040.3.1
OG0009514	AH011409-RA	Solyc06g060890.3.1
OG0009515	AH013961-RA	Solyc07g007430.3.1
OG0009516	AH014490-RA	Solyc12g008360.2.1
OG0009517	AH005376-RA	Solyc01g007250.3.1, Solyc11g065980.2.1
OG0009519	AH020642-RA	Solyc01g088640.3.1
OG0009520	AH021158-RA	Solyc07g008300.2.1, Solyc07g008310.3.1
OG0009521	AH020882-RA	Solyc07g020800.3.1, Solyc12g007210.2.1
OG0009522	AH007568-RA	Solyc08g005450.2.1
OG0009523	AH015595-RA	Solyc05g050940.3.1
OG0009525	AH014221-RA	Solyc07g039500.3.1
OG0009529	AH018720-RA	Solyc08g007755.1.1, Solyc08g007710.3.1
OG0009530	AH006956-RA, AH020236-RA	Solyc06g063310.2.1
OG0009531	AH018989-RA	Solyc08g006620.3.1
OG0009532	AH011903-RA	Solyc06g073090.3.1
OG0009533	AH000462-RA	Solyc03g120130.3.1
OG0009534	AH014605-RA	Solyc03g117770.3.1
OG0009535	AH016167-RA	Solyc08g066490.3.1
OG0009537	AH001988-RA, AH000601-RA	Solyc03g116540.1.1
OG0009538	AH007892-RA	Solyc04g015440.3.1
OG0009539	AH004463-RA	Solyc10g054060.2.1
OG0009540	AH001960-RA	Solyc03g116740.3.1, Solyc06g068150.3.1
OG0009541	AH009240-RA	Solyc03g025910.3.1
OG0009542	AH013404-RA	Solyc06g063060.3.1
OG0009543	AH000492-RA, AH002133-RA	Solyc03g120860.2.1
OG0009544	AH021051-RA	Solyc07g005920.2.1
OG0009546	AH018601-RA	Solyc08g078640.2.1
OG0009548	AH009582-RA	Solyc01g095670.3.1, Solyc10g009570.3.1
OG0009549	AH023428-RA	Solyc01g096870.3.1
OG0009550	AH009617-RA	Solyc01g095360.2.1
OG0009551	AH014090-RA	Solyc04g081330.3.1
OG0009552	AH000351-RA	Solyc03g121350.3.1
OG0009553	AH015893-RA	Solyc07g042580.3.1
OG0009554	AH009307-RA	Solyc07g047970.3.1
OG0009555	AH014613-RA	Solyc03g117730.3.1
OG0009556	AH017076-RA, AH014913-RA	Solyc07g016200.3.1
OG0009559	AH020506-RA	Solyc07g039200.3.1
OG0009560	AH013995-RA	Solyc07g007830.3.1
OG0009561	AH012385-RA	Solyc03g025840.3.1
OG0009562	AH015958-RA, AH023531-RA	Solyc04g049850.3.1
OG0009563	AH015993-RA	Solyc11g005580.1.1
OG0009565	AH014424-RA	Solyc07g014590.3.1
OG0009566	AH012316-RA	Solyc03g007010.3.1, Solyc06g035450.3.1
OG0009567	AH014399-RA, AH020977-RA	Solyc10g054272.1.1, Solyc10g054280.2.1
OG0009568	AH017073-RA	Solyc08g069160.3.1
OG0009569	AH021253-RA	Solyc12g008760.2.1, Solyc07g032240.3.1
OG0009570	AH009462-RA	Solyc06g065290.3.1
OG0009571	AH013478-RA	Solyc03g093480.3.1
OG0009574	AH021072-RA	Solyc05g047590.3.1
OG0009575	AH023361-RA	Solyc12g095820.2.1
OG0009576	AH014209-RA	Solyc07g040780.3.1
OG0009577	AH020862-RA	Solyc10g005790.3.1, Solyc12g015810.2.1, Solyc07g065790.2.1
OG0009579	AH016046-RA	Solyc08g062190.3.1
OG0009580	AH019432-RA	Solyc07g042810.2.1
OG0009581	AH003157-RA	Solyc08g080550.1.1
OG0009583	AH004154-RA	Solyc08g006840.3.1
OG0009584	AH014477-RA, AH014478-RA, AH014479-RA	Solyc12g008440.1.1
OG0009585	AH019490-RA	Solyc11g072290.2.1
OG0009586	AH003220-RA	Solyc08g079180.3.1
OG0009587	AH003807-RA	Solyc04g081030.3.1
OG0009588	AH020764-RA	Solyc06g075080.3.1
OG0009589	AH006187-RA	Solyc02g092715.1.1
OG0009590	AH018807-RA	Solyc09g005590.3.1
OG0009591	AH019157-RA	Solyc01g096400.3.1
OG0009592	AH002872-RA	Solyc11g045270.2.1
OG0009593	AH016108-RA	Solyc12g095930.2.1, Solyc08g065490.3.1
OG0009594	AH021850-RA	Solyc09g009040.3.1
OG0009595	AH018902-RA	Solyc10g081590.2.1
OG0009596	AH021618-RA	Solyc02g078690.2.1
OG0009597	AH015414-RA	Solyc07g005020.3.1
OG0009598	AH017440-RA	Solyc11g006770.2.1
OG0009599	AH000320-RA	Solyc09g092360.3.1
OG0009600	AH004349-RA	Solyc02g069820.3.1
OG0009601	AH013161-RA, AH022489-RA	Solyc11g072850.2.1
OG0009602	AH000228-RA	Solyc10g007820.3.1
OG0009603	AH000627-RA, AH001905-RA	Solyc01g086690.2.1
OG0009604	AH018762-RA	Solyc07g065910.1.1
OG0009605	AH000373-RA	Solyc11g066870.2.1
OG0009606	AH000402-RA	Solyc11g066450.2.1
OG0009608	AH021263-RA	Solyc02g021760.3.1, Solyc02g070240.3.1
OG0009609	AH021781-RA	Solyc09g010240.2.1, Solyc10g083220.2.1
OG0009611	AH007263-RA	Solyc10g007180.2.1, Solyc12g014230.2.1
OG0009613	AH000201-RA	Solyc01g034070.2.1, Solyc01g034063.1.1, Solyc11g066240.2.1
OG0009614	AH021889-RA	Solyc10g039190.2.1
OG0009615	AH007894-RA	Solyc07g066280.3.1
OG0009616	AH020510-RA, AH006585-RA	Solyc10g077090.2.1, Solyc10g081085.1.1
OG0009617	AH018852-RA	Solyc01g090250.3.1
OG0009618	AH000077-RA	Solyc07g044810.3.1, Solyc12g006310.2.1
OG0009619	AH008073-RA	Solyc12g013790.2.1
OG0009621	AH023172-RA	Solyc06g050900.3.1
OG0009622	AH015721-RA	Solyc08g080370.3.1
OG0009623	AH016473-RA	Solyc04g011495.1.1
OG0009624	AH022488-RA	Solyc06g005200.3.1
OG0009625	AH019781-RA, AH013341-RA	Solyc08g081330.3.1
OG0009627	AH006415-RA	Solyc02g082830.2.1
OG0009628	AH021439-RA, AH014882-RA	Solyc02g070250.3.1
OG0009629	AH009870-RA, AH008238-RA	Solyc12g014500.2.1, Solyc07g064990.3.1
OG0009630	AH001279-RA	Solyc02g069080.3.1
OG0009631	AH023190-RA	Solyc06g050185.1.1, Solyc06g050180.2.1, Solyc06g050200.2.1
OG0009632	AH006165-RA	Solyc11g067020.2.1
OG0009633	AH010953-RA	Solyc11g065180.2.1
OG0009634	AH011518-RA	Solyc08g076770.3.1, Solyc10g074830.1.1
OG0009635	AH014551-RA	Solyc05g006440.3.1
OG0009637	AH007977-RA	Solyc07g062150.3.1
OG0009638	AH021077-RA	Solyc07g054440.3.1
OG0009639	AH001113-RA	Solyc12g006360.2.1
OG0009640	AH014731-RA	Solyc02g070780.3.1
OG0009642	AH014024-RA, AH020722-RA	Solyc12g010720.1.1
OG0009643	AH022455-RA	Solyc06g007250.3.1
OG0009645	AH005730-RA	Solyc02g064550.3.1
OG0009646	AH021973-RA, AH021974-RA, AH012786-RA	Solyc09g007470.1.1
OG0009647	AH011090-RA	Solyc11g072170.2.1
OG0009648	AH015673-RA	Solyc08g067040.3.1
OG0009649	AH014823-RA	Solyc03g006190.3.1, Solyc03g006177.1.1, Solyc05g023840.1.1
OG0009650	AH001504-RA	Solyc11g066900.2.1
OG0009651	AH012736-RA	Solyc10g083910.2.1
OG0009652	AH019273-RA	Solyc05g052260.3.1
OG0009653	AH000156-RA	Solyc11g069170.2.1
OG0009654	AH021222-RA	Solyc06g072160.3.1
OG0009655	AH001431-RA	Solyc07g042130.3.1
OG0009656	AH007641-RA	Solyc01g044480.3.1, Solyc01g044490.3.1
OG0009657	AH023122-RA	Solyc06g051080.3.1
OG0009658	AH000053-RA	Solyc11g008250.2.1
OG0009659	AH001160-RA	Solyc07g049590.3.1
OG0009660	AH008063-RA	Solyc09g011027.1.1, Solyc10g084840.2.1
OG0009661	AH000252-RA	Solyc02g021700.3.1, Solyc02g021690.2.1
OG0009662	AH008207-RA, AH021500-RA	Solyc02g080560.1.1, Solyc02g080550.1.1
OG0009663	AH021982-RA	Solyc06g075220.1.1, Solyc11g069250.2.1
OG0009664	AH019154-RA, AH019153-RA	Solyc01g096460.2.1
OG0009665	AH021644-RA, AH010024-RA, AH010025-RA	Solyc07g063240.3.1
OG0009666	AH021691-RA	Solyc10g074910.2.1
OG0009667	AH014117-RA, AH010190-RA, AH014118-RA, AH014103-RA	Solyc07g064520.3.1
OG0009668	AH021929-RA, AH012823-RA	Solyc02g082180.3.1
OG0009669	AH014945-RA	Solyc02g036330.3.1
OG0009670	AH020371-RA	Solyc10g080310.2.1
OG0009672	AH009624-RA	Solyc07g065590.3.1
OG0009673	AH011731-RA	Solyc02g082090.3.1
OG0009674	AH006309-RA	Solyc12g009990.2.1
OG0009675	AH010883-RA	Solyc01g006020.3.1
OG0009676	AH021244-RA	Solyc02g068920.3.1
OG0009677	AH001355-RA	Solyc07g053820.3.1
OG0009678	AH003468-RA	Solyc11g017370.2.1
OG0009680	AH007636-RA	Solyc01g028900.3.1
OG0009681	AH021987-RA	Solyc11g069330.1.1
OG0009682	AH015988-RA	Solyc01g097360.3.1
OG0009683	AH001383-RA	Solyc07g053580.2.1
OG0009685	AH023072-RA	Solyc07g054140.3.1
OG0009686	AH012722-RA	Solyc09g008490.3.1
OG0009687	AH003640-RA	Solyc07g052290.1.1
OG0009690	AH007634-RA	Solyc01g049680.3.1
OG0009691	AH011133-RA	Solyc04g024590.3.1
OG0009692	AH009564-RA	Solyc01g095870.2.1
OG0009694	AH008778-RA	Solyc06g064570.3.1
OG0009695	AH007229-RA	Solyc09g089880.3.1
OG0009696	AH009717-RA	Solyc04g080770.3.1
OG0009699	AH007337-RA	Solyc12g098430.2.1
OG0009700	AH007547-RA, AH010854-RA	Solyc01g098040.3.1
OG0009701	AH023128-RA, AH023524-RA	Solyc06g074855.1.1, Solyc06g074860.2.1
OG0009702	AH011312-RA, AH018076-RA	Solyc05g008130.3.1, Solyc04g007660.1.1
OG0009703	AH009646-RA	Solyc01g094930.3.1
OG0009704	AH005841-RA, AH003755-RA	Solyc01g110530.3.1, Solyc02g062250.3.1
OG0009705	AH004914-RA	Solyc05g014490.2.1
OG0009706	AH000359-RA	Solyc01g108230.3.1
OG0009707	AH012853-RA	Solyc12g088660.2.1
OG0009708	AH003793-RA	Solyc02g084700.3.1
OG0009709	AH019789-RA	Solyc01g058720.3.1
OG0009710	AH006899-RA	Solyc08g082500.2.1, Solyc00g209460.2.1
OG0009711	AH011563-RA	Solyc03g117320.3.1
OG0009712	AH019992-RA	Solyc11g045180.2.1
OG0009713	AH009088-RA	Solyc01g090900.3.1
OG0009714	AH008550-RA	Solyc00g009120.3.1, Solyc00g009140.3.1
OG0009715	AH013023-RA	Solyc06g083690.3.1
OG0009716	AH009410-RA	Solyc06g065400.3.1, Solyc11g018620.2.1
OG0009717	AH004204-RA	Solyc04g081410.3.1
OG0009718	AH004898-RA	Solyc05g014190.3.1
OG0009719	AH019687-RA, AH011976-RA	Solyc03g083095.1.1
OG0009720	AH013612-RA	Solyc07g006150.3.1
OG0009722	AH005637-RA	Solyc03g044900.3.1
OG0009723	AH018506-RA	Solyc12g005450.1.1, Solyc07g062170.2.1
OG0009724	AH006196-RA	Solyc11g005400.2.1
OG0009725	AH004283-RA	Solyc02g094460.2.1
OG0009726	AH002540-RA	Solyc06g008700.3.1
OG0009727	AH011851-RA	Solyc09g082380.3.1
OG0009728	AH004557-RA	Solyc03g005740.2.1
OG0009729	AH008611-RA	Solyc12g088880.2.1
OG0009730	AH017377-RA	Solyc03g005010.3.1
OG0009731	AH009020-RA	Solyc01g096990.3.1
OG0009732	AH003845-RA	Solyc01g080830.3.1
OG0009733	AH017878-RA	Solyc09g042770.3.1
OG0009735	AH020822-RA	Solyc05g006210.3.1, Solyc11g012030.2.1
OG0009736	AH003758-RA	Solyc02g084240.3.1
OG0009738	AH010365-RA	Solyc01g080350.3.1
OG0009739	AH019924-RA	Solyc03g005620.3.1, Solyc09g090320.2.1
OG0009740	AH000773-RA	Solyc01g058080.1.1, Solyc01g090645.1.1
OG0009741	AH001195-RA	Solyc07g045140.3.1
OG0009742	AH006281-RA	Solyc01g104310.3.1
OG0009743	AH001720-RA	Solyc01g110550.3.1
OG0009744	AH001783-RA	Solyc01g109900.3.1
OG0009745	AH016965-RA	Solyc11g042620.2.1
OG0009746	AH020810-RA, AH014166-RA	Solyc11g040370.2.1
OG0009747	AH001657-RA	Solyc12g056030.2.1
OG0009748	AH016738-RA	Solyc04g081230.3.1
OG0009749	AH000857-RA	Solyc01g111140.3.1
OG0009750	AH001777-RA	Solyc01g109960.3.1
OG0009751	AH004493-RA	Solyc05g014310.3.1
OG0009752	AH004910-RA	Solyc10g081050.1.1
OG0009753	AH018598-RA	Solyc08g078695.1.1
OG0009754	AH016700-RA	Solyc04g077040.3.1, Solyc04g077030.3.1
OG0009756	AH008562-RA	Solyc03g097160.3.1
OG0009757	AH005255-RA	Solyc02g005210.3.1
OG0009758	AH004511-RA, AH004925-RA	Solyc05g014790.3.1
OG0009759	AH004881-RA	Solyc05g013960.3.1
OG0009760	AH009417-RA	Solyc06g065180.3.1
OG0009761	AH016935-RA	Solyc12g095800.2.1
OG0009762	AH009239-RA	Solyc01g094190.3.1
OG0009763	AH022039-RA	Solyc09g072820.3.1
OG0009764	AH005120-RA	Solyc05g012700.3.1
OG0009765	AH010724-RA	Solyc04g015450.3.1
OG0009766	AH007570-RA, AH010480-RA	Solyc03g026030.1.1, Solyc01g099330.3.1
OG0009767	AH008605-RA	Solyc11g042640.2.1
OG0009768	AH017803-RA	Solyc09g065690.3.1
OG0009769	AH016264-RA, AH023234-RA	Solyc08g042010.3.1
OG0009770	AH017078-RA	Solyc01g080760.3.1
OG0009772	AH009074-RA	Solyc10g018640.2.1, Solyc01g090740.3.1
OG0009773	AH016978-RA	Solyc11g005820.1.1
OG0009774	AH008588-RA	Solyc11g042430.2.1
OG0009775	AH005125-RA	Solyc12g016210.2.1
OG0009776	AH007090-RA, AH020089-RA	Solyc09g075970.3.1
OG0009777	AH005818-RA	Solyc02g062430.3.1
OG0009778	AH010785-RA	Solyc01g097600.2.1
OG0009779	AH018653-RA	Solyc08g007950.3.1
OG0009780	AH021052-RA, AH000611-RA	Solyc04g082330.3.1
OG0009781	AH012871-RA	Solyc06g084483.1.1, Solyc06g084500.3.1
OG0009782	AH018158-RA	Solyc08g082930.2.1
OG0009783	AH018609-RA	Solyc08g007380.3.1
OG0009784	AH019411-RA	Solyc06g053770.3.1
OG0009785	AH023599-RA	Solyc03g093210.3.1
OG0009786	AH007984-RA	Solyc04g082390.3.1
OG0009787	AH002475-RA	Solyc03g116847.1.1, Solyc06g068480.3.1
OG0009788	AH004915-RA	Solyc05g014540.3.1
OG0009789	AH023512-RA	Solyc05g054910.3.1
OG0009790	AH011694-RA	Solyc11g017430.2.1
OG0009791	AH021899-RA	Solyc09g064380.3.1
OG0009792	AH007803-RA	Solyc01g104040.3.1
OG0009793	AH015842-RA	Solyc02g065805.1.1, Solyc02g066800.2.1, Solyc02g088930.3.1
OG0009794	AH016495-RA	Solyc02g088470.1.1
OG0009795	AH022842-RA	Solyc02g091190.3.1
OG0009796	AH007286-RA	Solyc03g096960.3.1
OG0009797	AH021215-RA	Solyc03g098600.3.1
OG0009798	AH017464-RA	Solyc03g114780.3.1
OG0009799	AH002971-RA	Solyc04g009200.3.1
OG0009800	AH005512-RA	Solyc06g069390.3.1
OG0009801	AH000890-RA	Solyc01g105130.3.1
OG0009802	AH011377-RA, AH011378-RA	Solyc09g097840.2.1
OG0009803	AH004594-RA	Solyc05g007190.4.1
OG0009804	AH005105-RA	Solyc05g007090.3.1
OG0009805	AH011782-RA, AH011781-RA	Solyc10g080320.2.1, Solyc10g080330.2.1
OG0009806	AH000030-RA	Solyc10g079850.2.1
OG0009807	AH002720-RA	Solyc06g071010.3.1
OG0009808	AH005019-RA	Solyc05g013060.3.1
OG0009809	AH005338-RA	Solyc09g059520.3.1
OG0009810	AH005351-RA	Solyc05g008000.3.1
OG0009811	AH020608-RA, AH011640-RA	Solyc03g112900.3.1, Solyc07g007450.3.1
OG0009812	AH011553-RA	Solyc08g076090.3.1, Solyc00g114550.1.1
OG0009813	AH022816-RA	Solyc02g091440.2.1
OG0009814	AH012017-RA, AH023423-RA	Solyc03g119120.3.1
OG0009815	AH012212-RA	Solyc11g006880.2.1
OG0009816	AH021218-RA	Solyc03g019930.3.1
OG0009817	AH018233-RA, AH011459-RA	Solyc08g007130.3.1, Solyc08g077530.3.1
OG0009818	AH005005-RA, AH004336-RA	Solyc05g012690.3.1
OG0009819	AH006293-RA	Solyc11g068820.2.1
OG0009820	AH000858-RA	Solyc03g112820.3.1
OG0009821	AH001966-RA	Solyc08g080850.3.1
OG0009822	AH003080-RA	Solyc02g091270.3.1
OG0009823	AH003071-RA	Solyc02g089820.3.1
OG0009825	AH014074-RA	Solyc04g008340.2.1
OG0009826	AH015656-RA	Solyc04g045620.3.1
OG0009827	AH009375-RA	Solyc01g090380.3.1
OG0009828	AH004123-RA	Solyc05g010670.3.1
OG0009829	AH004041-RA	Solyc05g012340.3.1
OG0009830	AH003390-RA	Solyc01g007880.3.1
OG0009832	AH023434-RA	Solyc04g008030.2.1
OG0009833	AH004651-RA	Solyc05g006530.3.1
OG0009834	AH005343-RA	Solyc05g008230.3.1, Solyc04g007640.3.1
