Orthogroup	A_hypochondriacus.proteins	S_lycopersicum.proteins
OG0000114	AH015161-RA	Solyc02g079580.3.1, Solyc03g006720.1.1, Solyc03g006730.2.1
OG0000115	AH002718-RA, AH002719-RA, AH011596-RA	Solyc10g078200.1.1, Solyc12g042390.1.1, Solyc12g094540.1.1
OG0000115	AH021864-RA, AH006630-RA	Solyc11g006480.1.1, Solyc01g103460.2.1
OG0000115	AH011228-RA	Solyc01g100670.1.1, Solyc01g100680.1.1
OG0000115	AH011595-RA	Solyc08g078620.1.1, Solyc08g007350.2.1
OG0000116	AH006915-RA	Solyc11g066160.1.1
OG0000116	AH022502-RA	Solyc11g072840.1.1, Solyc04g011390.1.1, Solyc05g054610.1.1, Solyc06g075960.1.1, Solyc06g005420.1.1, Solyc06g005430.1.1, Solyc06g075930.1.1, Solyc06g075830.2.1, Solyc06g072240.1.1, Solyc11g072860.2.1
OG0000117	AH003210-RA, AH018569-RA, AH011627-RA, AH011626-RA, AH021154-RA, AH014525-RA, AH014524-RA, AH020866-RA, AH014523-RA, AH000151-RA, AH004397-RA, AH004396-RA, AH004394-RA, AH004395-RA, AH021986-RA, AH021985-RA	Solyc09g005500.3.1, Solyc05g046210.2.1, Solyc05g046150.3.1, Solyc05g046145.1.1, Solyc05g046205.1.1, Solyc04g007795.1.1, Solyc05g046220.1.1, Solyc05g046160.1.1, Solyc04g007830.3.1, Solyc04g007825.1.1, Solyc05g046140.3.1, Solyc00g322635.1.1
OG0000118	AH022107-RA	Solyc07g066080.3.1
OG0000118	AH012040-RA	Solyc10g011740.3.1
OG0000118	AH019634-RA	Solyc01g095490.3.1
OG0000118	AH006465-RA	Solyc02g083570.3.1
OG0000119	AH017345-RA, AH002923-RA	Solyc01g008660.3.1
OG0000120	AH020337-RA, AH006837-RA	Solyc10g080420.2.1, Solyc10g080430.1.1, Solyc10g078680.2.1
OG0000120	AH020344-RA	Solyc03g077920.1.1
OG0000120	AH018632-RA	Solyc08g008020.1.1
OG0000121	AH010321-RA	Solyc01g097000.3.1
OG0000121	AH022634-RA	Solyc06g073740.3.1, Solyc06g073760.3.1, Solyc06g073750.3.1, Solyc11g071640.2.1
OG0000121	AH010322-RA, AH013867-RA	Solyc01g009240.3.1
OG0000122	AH015608-RA	Solyc09g015300.1.1, Solyc01g017300.1.1, Solyc09g018800.2.1, Solyc09g015290.1.1, Solyc10g017890.1.1, Solyc02g020960.2.1, Solyc01g017310.1.1, Solyc06g009940.1.1, Solyc01g017320.1.1
OG0000122	AH003330-RA	Solyc12g033060.1.1, Solyc12g032990.1.1, Solyc06g009950.1.1, Solyc05g020010.1.1
OG0000124	AH001376-RA	Solyc10g050880.1.1, Solyc01g108530.3.1, Solyc01g108520.2.1
OG0000124	AH019891-RA, AH004745-RA, AH000628-RA	Solyc01g108540.3.1, Solyc01g108570.3.1, Solyc01g108560.4.1, Solyc01g108580.3.1
OG0000124	AH015148-RA	Solyc04g079190.3.1
OG0000125	AH012890-RA	Solyc09g074230.3.1
OG0000125	AH010561-RA	Solyc01g098560.3.1
OG0000125	AH010565-RA, AH010563-RA	Solyc02g005180.3.1, Solyc01g098490.3.1, Solyc01g098500.3.1
OG0000127	AH010397-RA, AH022171-RA, AH012869-RA	Solyc09g074530.3.1
OG0000127	AH002969-RA, AH017357-RA	Solyc06g072630.3.1, Solyc03g097870.3.1, Solyc03g097590.3.1, Solyc03g097600.3.1, Solyc03g097570.3.1, Solyc03g097585.1.1, Solyc06g072620.3.1, Solyc03g097580.3.1, Solyc03g097610.3.1, Solyc06g072640.1.1
OG0000127	AH017358-RA, AH002968-RA	Solyc03g097620.1.1
OG0000129	AH019249-RA	Solyc08g006500.3.1, Solyc06g063210.3.1, Solyc06g063180.2.1, Solyc06g063200.2.1, Solyc06g063170.3.1, Solyc06g063190.3.1
OG0000131	AH014578-RA	Solyc07g041720.1.1
OG0000131	AH016864-RA, AH016862-RA, AH003876-RA, AH018991-RA, AH013318-RA, AH003875-RA, AH016865-RA, AH013320-RA, AH016866-RA, AH016863-RA, AH014527-RA, AH003877-RA, AH016833-RA, AH016845-RA, AH016868-RA, AH014582-RA, AH014583-RA, AH014581-RA, AH014580-RA, AH014579-RA, AH009123-RA, AH009120-RA, AH014365-RA, AH014364-RA, AH020779-RA, AH020778-RA, AH014066-RA, AH020774-RA	Solyc03g123410.1.1
OG0000134	AH006080-RA	Solyc02g090630.3.1, Solyc04g079210.3.1
OG0000134	AH001790-RA, AH001791-RA	Solyc04g079260.3.1, Solyc04g079250.3.1, Solyc04g079240.3.1
OG0000135	AH017069-RA	Solyc03g111215.1.1
OG0000135	AH013502-RA	Solyc04g049400.3.1
OG0000135	AH015896-RA	Solyc05g047550.3.1
OG0000136	AH017306-RA	Solyc03g114070.3.1
OG0000136	AH000810-RA, AH002265-RA	Solyc01g111560.3.1
OG0000137	AH022076-RA, AH022075-RA, AH014193-RA, AH012283-RA, AH019476-RA, AH019481-RA, AH014194-RA, AH019421-RA, AH011697-RA, AH012282-RA	Solyc05g054380.2.1, Solyc09g091000.3.1, Solyc12g096960.2.1, Solyc09g090990.2.1, Solyc09g090970.3.1, Solyc09g090980.3.1
OG0000138	AH022914-RA, AH016501-RA	Solyc02g065570.1.1
OG0000138	AH013724-RA, AH022574-RA	Solyc06g076320.1.1, Solyc06g005610.1.1
OG0000140	AH001067-RA, AH001066-RA, AH001068-RA, AH001070-RA, AH003302-RA, AH014008-RA	Solyc11g011590.2.1, Solyc11g011580.2.1, Solyc04g008950.3.1, Solyc04g008940.3.1, Solyc11g011600.2.1, Solyc04g008930.2.1, Solyc04g008970.3.1, Solyc04g008960.3.1
OG0000143	AH016191-RA, AH008728-RA, AH008727-RA	Solyc04g074340.3.1, Solyc04g074330.3.1, Solyc04g074390.3.1, Solyc04g074380.3.1, Solyc04g074350.3.1, Solyc04g074360.2.1, Solyc12g057060.2.1, Solyc12g057080.2.1, Solyc12g057070.2.1
OG0000144	AH005332-RA	Solyc01g103940.3.1
OG0000144	AH011428-RA	Solyc08g077780.3.1
OG0000145	AH013887-RA	Solyc11g071460.2.1
OG0000145	AH009242-RA	Solyc01g094210.2.1, Solyc01g099560.3.1, Solyc01g094240.3.1, Solyc01g094250.3.1, Solyc01g094260.3.1, Solyc01g094270.3.1, Solyc10g017570.3.1, Solyc01g094220.3.1
OG0000146	AH013670-RA, AH013668-RA	Solyc09g015020.1.1, Solyc09g015000.3.1
OG0000146	AH019053-RA, AH016411-RA, AH023019-RA, AH023024-RA, AH008823-RA	Solyc06g076560.2.1, Solyc06g076520.1.1, Solyc06g076540.1.1, Solyc06g076570.3.1
OG0000147	AH021952-RA	Solyc05g013650.2.1, Solyc05g013660.3.1
OG0000147	AH000183-RA	Solyc06g075110.3.1, Solyc11g069550.1.1, Solyc06g010170.3.1
OG0000148	AH022552-RA	Solyc06g076280.2.1
OG0000148	AH022967-RA	Solyc05g053090.2.1
OG0000149	AH016220-RA	Solyc10g085630.2.1
OG0000149	AH022324-RA	Solyc01g090700.3.1
OG0000152	AH022508-RA	Solyc05g055440.1.1, Solyc03g071620.1.1
OG0000153	AH021960-RA	Solyc09g007290.3.1
OG0000153	AH007368-RA	Solyc12g027650.1.1
