Orthogroup	A_vesiculosa.proteins	P_amilis.proteins
OG0000044	Av_00016449-RA	FUN_001565-T1
OG0000044	Av_00012555-RA, Av_00002870-RA	FUN_039424-T1
OG0000044	Av_00002322-RA, Av_00009708-RA	FUN_050905-T1
OG0000046	Av_00004429-RA, Av_00012280-RA	FUN_002274-T2, FUN_002274-T3, FUN_002274-T1, FUN_007518-T1
OG0000046	Av_00024394-RA, Av_00011655-RA, Av_00014209-RA, Av_00001876-RA	FUN_001154-T1, FUN_030219-T1
OG0000046	Av_00015934-RA, Av_00011412-RA, Av_00004246-RA, Av_00024458-RA	FUN_015529-T1, FUN_026427-T1
OG0000046	Av_00002747-RA, Av_00016996-RA	FUN_023782-T1, FUN_033699-T1, FUN_033699-T3, FUN_033699-T2
OG0000046	Av_00009129-RA, Av_00005749-RA	FUN_016469-T1, FUN_029956-T1
OG0000046	Av_00024073-RA, Av_00006807-RA	FUN_000148-T2, FUN_000148-T1, FUN_006302-T1, FUN_006303-T1, FUN_006307-T1
OG0000047	Av_00021683-RA	FUN_016927-T1, FUN_029662-T1
OG0000047	Av_00004600-RA, Av_00004281-RA, Av_00015966-RA, Av_00011387-RA, Av_00015257-RA, Av_00010932-RA, Av_00011403-RA, Av_00015951-RA	FUN_052024-T1
OG0000047	Av_00024563-RA	FUN_044316-T1
OG0000047	Av_00018720-RA	FUN_008876-T2
OG0000047	Av_00021866-RA	FUN_038585-T1
OG0000047	Av_00011450-RA, Av_00000054-RA, Av_00015234-RA, Av_00010903-RA	FUN_011417-T1
OG0000048	Av_00010433-RA	FUN_025704-T1, FUN_025705-T1
OG0000048	Av_00019438-RA	FUN_011943-T1, FUN_021004-T1
OG0000050	Av_00009969-RA	FUN_014549-T1, FUN_004548-T1, FUN_049205-T1
OG0000050	Av_00012807-RA, Av_00021668-RA	FUN_023523-T1, FUN_001245-T1, FUN_012030-T1
OG0000050	Av_00002378-RA	FUN_053188-T1, FUN_053188-T2
OG0000050	Av_00018370-RA	FUN_053296-T1, FUN_052997-T1
OG0000051	Av_00024209-RA, Av_00016836-RA	FUN_053077-T1, FUN_053100-T1
OG0000051	Av_00023769-RA, Av_00022660-RA, Av_00022295-RA, Av_00024730-RA, Av_00020935-RA, Av_00021508-RA, Av_00019977-RA, Av_00022692-RA, Av_00015433-RA, Av_00018095-RA, Av_00019264-RA, Av_00016879-RA, Av_00018177-RA, Av_00023994-RA, Av_00024247-RA, Av_00016050-RA, Av_00024412-RA, Av_00023308-RA, Av_00019467-RA, Av_00016835-RA, Av_00024987-RA, Av_00018964-RA, Av_00022045-RA, Av_00024556-RA, Av_00023895-RA, Av_00023135-RA, Av_00024604-RA, Av_00020761-RA, Av_00023615-RA, Av_00020673-RA, Av_00006645-RA, Av_00021719-RA, Av_00024214-RA, Av_00019596-RA	FUN_053258-T1, FUN_000050-T1, FUN_039290-T1, FUN_009538-T1
OG0000051	Av_00010376-RA	FUN_053323-T1, FUN_029031-T1, FUN_005994-T1, FUN_053287-T1, FUN_053148-T1, FUN_042860-T1, FUN_053119-T1, FUN_043928-T1, FUN_027860-T1, FUN_009799-T1, FUN_017350-T1, FUN_039946-T1, FUN_025125-T1, FUN_010148-T1, FUN_026904-T1, FUN_021790-T1
OG0000051	Av_00015400-RA	FUN_029436-T1
OG0000055	Av_00002758-RA	FUN_025259-T1, FUN_025259-T2
OG0000055	Av_00013256-RA, Av_00017858-RA, Av_00022659-RA	FUN_020259-T1
OG0000055	Av_00017818-RA	FUN_043526-T1, FUN_024966-T1
OG0000055	Av_00024743-RA, Av_00019729-RA	FUN_045967-T1, FUN_049882-T1
OG0000055	Av_00008958-RA	FUN_014867-T1
OG0000055	Av_00016413-RA, Av_00013445-RA	FUN_007699-T1
OG0000058	Av_00008430-RA	FUN_009655-T1, FUN_009655-T2
OG0000058	Av_00002928-RA	FUN_020519-T1, FUN_000927-T1
OG0000059	Av_00016663-RA, Av_00008085-RA	FUN_020456-T1
OG0000059	Av_00013645-RA	FUN_001172-T1, FUN_036121-T1, FUN_036120-T1, FUN_036109-T1, FUN_036125-T1
OG0000063	Av_00002221-RA, Av_00017394-RA, Av_00017390-RA, Av_00017389-RA	FUN_004978-T1, FUN_028019-T1, FUN_027976-T1, FUN_006651-T1
OG0000063	Av_00005674-RA	FUN_029304-T1, FUN_029314-T1, FUN_029317-T2, FUN_029317-T1, FUN_019005-T1
