Orthogroup	A_hypochondriacus.proteins	D_spatulata.proteins
OG0000220	AH018373-RA	Ds_00005279-RA
OG0000221	AH016860-RA	Ds_00011265-RA
OG0000221	AH015847-RA, AH019151-RA	Ds_00005941-RA, Ds_00007739-RA
OG0000222	AH018451-RA, AH011549-RA	Ds_00011130-RA
OG0000222	AH019420-RA, AH010384-RA, AH019521-RA	Ds_00015918-RA
OG0000222	AH012987-RA	Ds_00000960-RA
OG0000222	AH012396-RA	Ds_00005548-RA
OG0000224	AH021647-RA, AH015222-RA	Ds_00015113-RA
OG0000224	AH000336-RA, AH001344-RA	Ds_00001155-RA, Ds_00017987-RA
OG0000227	AH019119-RA	Ds_00010370-RA, Ds_00015277-RA
OG0000227	AH022956-RA, AH016463-RA	Ds_00008521-RA, Ds_00015271-RA, Ds_00012771-RA
OG0000228	AH002970-RA, AH017354-RA	Ds_00007084-RA
OG0000229	AH003810-RA, AH005782-RA	Ds_00013197-RA, Ds_00016620-RA
OG0000230	AH016753-RA	Ds_00002554-RA
OG0000230	AH023644-RA	Ds_00010011-RA, Ds_00018035-RA
OG0000230	AH009416-RA	Ds_00002902-RA, Ds_00005465-RA
OG0000231	AH004765-RA	Ds_00015462-RA
OG0000232	AH009986-RA, AH009984-RA, AH009983-RA, AH009981-RA, AH009982-RA, AH008127-RA	Ds_00014009-RA
OG0000235	AH007677-RA, AH010905-RA	Ds_00006097-RA
OG0000235	AH020331-RA, AH006874-RA, AH006856-RA	Ds_00014038-RA
OG0000236	AH023101-RA, AH016378-RA	Ds_00015612-RA
OG0000236	AH013818-RA	Ds_00008273-RA
OG0000236	AH023094-RA	Ds_00015613-RA
OG0000238	AH022168-RA, AH022166-RA, AH022167-RA, AH004972-RA, AH002211-RA, AH002223-RA, AH002216-RA, AH013971-RA, AH002218-RA, AH000864-RA, AH005582-RA	Ds_00009909-RA, Ds_00012113-RA, Ds_00014947-RA
OG0000240	AH007927-RA	Ds_00005490-RA
OG0000240	AH012669-RA	Ds_00002050-RA
OG0000240	AH001498-RA, AH000378-RA	Ds_00008338-RA
OG0000241	AH011397-RA, AH018288-RA, AH018263-RA	Ds_00015289-RA, Ds_00005132-RA
OG0000241	AH001165-RA, AH016129-RA, AH018322-RA	Ds_00009206-RA
OG0000242	AH009443-RA	Ds_00012553-RA
OG0000243	AH003233-RA	Ds_00002144-RA
OG0000244	AH012219-RA	Ds_00015624-RA, Ds_00012931-RA
OG0000244	AH013016-RA	Ds_00005926-RA
OG0000244	AH001047-RA, AH001046-RA	Ds_00016294-RA, Ds_00006368-RA
OG0000245	AH021950-RA	Ds_00010310-RA
OG0000246	AH014183-RA, AH013911-RA, AH014182-RA	Ds_00002196-RA, Ds_00014152-RA, Ds_00012109-RA, Ds_00002178-RA, Ds_00013893-RA, Ds_00013909-RA
OG0000247	AH022128-RA	Ds_00003230-RA
OG0000247	AH022491-RA, AH010176-RA, AH010177-RA	Ds_00004686-RA, Ds_00001094-RA
OG0000249	AH007643-RA	Ds_00017955-RA, Ds_00006075-RA, Ds_00005512-RA
OG0000249	AH006900-RA	Ds_00002711-RA
OG0000249	AH002805-RA	Ds_00017247-RA
OG0000250	AH002733-RA	Ds_00012078-RA
OG0000250	AH009230-RA	Ds_00004610-RA, Ds_00016483-RA
OG0000251	AH010082-RA	Ds_00013459-RA
OG0000251	AH023083-RA	Ds_00006599-RA
OG0000252	AH005701-RA, AH003872-RA	Ds_00017779-RA
OG0000254	AH016102-RA	Ds_00002367-RA, Ds_00000795-RA, Ds_00016930-RA
OG0000256	AH012393-RA	Ds_00012988-RA
OG0000256	AH015599-RA, AH015603-RA	Ds_00016497-RA
OG0000257	AH004421-RA	Ds_00009045-RA
OG0000257	AH020706-RA	Ds_00001881-RA
OG0000262	AH006972-RA, AH007602-RA, AH010501-RA	Ds_00003658-RA
OG0000262	AH020567-RA, AH006502-RA	Ds_00009337-RA
OG0000262	AH010069-RA, AH008056-RA	Ds_00002158-RA, Ds_00007580-RA
OG0000263	AH014844-RA, AH014846-RA	Ds_00007557-RA
OG0000263	AH017033-RA	Ds_00014080-RA
OG0000264	AH021353-RA, AH014775-RA	Ds_00004404-RA
OG0000265	AH010088-RA	Ds_00001790-RA
OG0000265	AH001360-RA, AH001361-RA, AH018443-RA	Ds_00001172-RA
