Orthogroup	A_coerulea.proteins	G_max.proteins
OG0000030	Aqcoe6G194300.1.p, Aqcoe6G194400.1.p, Aqcoe6G194000.1.p	GmISU01.01G123900.1.p, GmISU01.01G123600.1.p, GmISU01.11G076100.1.p, GmISU01.01G123800.1.p, GmISU01.11G075800.2.p, GmISU01.11G075900.1.p, GmISU01.01G124000.1.p, GmISU01.11G075700.1.p, GmISU01.02G039400.1.p, GmISU01.02G039500.1.p, GmISU01.16G098600.1.p, GmISU01.02G039300.1.p, GmISU01.01G124100.1.p, GmISU01.11G075600.1.p
OG0000031	Aqcoe6G125700.1.p, Aqcoe1G289600.1.p	GmISU01.09G209700.1.p, GmISU01.18G184400.1.p, GmISU01.18G184600.2.p, GmISU01.18G184600.1.p, GmISU01.18G184500.1.p, GmISU01.18G184300.1.p, GmISU01.09G210200.1.p, GmISU01.04G010300.1.p, GmISU01.06G009500.1.p, GmISU01.09G210000.1.p, GmISU01.09G209500.1.p, GmISU01.09G209900.1.p
OG0000031	Aqcoe1G289700.1.p	GmISU01.09G209600.3.p, GmISU01.09G209600.2.p, GmISU01.09G209600.1.p, GmISU01.09G209800.1.p
OG0000031	Aqcoe6G125600.1.p	GmISU01.01G054000.1.p, GmISU01.02G107300.1.p
OG0000032	Aqcoe4G005900.1.p, Aqcoe4G028300.1.p, Aqcoe4G005800.1.p	GmISU01.19G065100.1.p, GmISU01.19G065000.1.p, GmISU01.19G065000.2.p, GmISU01.19G065200.1.p, GmISU01.19G047600.1.p, GmISU01.19G047800.1.p, GmISU01.19G047700.1.p, GmISU01.19G048000.1.p, GmISU01.16G055100.1.p, GmISU01.16G054800.1.p, GmISU01.16G055000.1.p, GmISU01.16G054700.1.p, GmISU01.19G046450.1.p, GmISU01.19G076600.1.p, GmISU01.16G055300.2.p, GmISU01.16G055300.1.p, GmISU01.16G055200.1.p, GmISU01.10G136200.1.p, GmISU01.20G180100.1.p, GmISU01.10G136300.1.p, GmISU01.20G180000.1.p
OG0000032	Aqcoe2G368600.1.p, Aqcoe2G357200.1.p, Aqcoe2G399300.2.p, Aqcoe2G399300.1.p, Aqcoe2G399400.1.p, Aqcoe2G399500.1.p, Aqcoe5G351300.1.p, Aqcoe2G058600.1.p	GmISU01.09G024800.1.p, GmISU01.15G122700.1.p, GmISU01.08G074300.1.p, GmISU01.05G102200.1.p
OG0000034	Aqcoe6G280300.1.p	GmISU01.20G104100.1.p
OG0000034	Aqcoe5G277200.1.p, Aqcoe5G277200.2.p, Aqcoe5G277300.3.p, Aqcoe5G277300.2.p, Aqcoe5G277300.1.p, Aqcoe1G367200.1.p, Aqcoe1G365800.1.p, Aqcoe1G366700.4.p, Aqcoe1G366700.2.p, Aqcoe1G366700.7.p, Aqcoe1G366700.8.p, Aqcoe1G366700.3.p, Aqcoe1G366700.9.p, Aqcoe1G366700.6.p, Aqcoe1G366700.10.p, Aqcoe1G366700.5.p, Aqcoe1G366700.1.p, Aqcoe1G366700.11.p, Aqcoe1G366000.1.p, Aqcoe1G366000.2.p, Aqcoe1G366200.1.p, Aqcoe1G366200.2.p, Aqcoe1G366400.1.p	GmISU01.01G198600.1.p, GmISU01.20G106300.1.p, GmISU01.20G106200.1.p, GmISU01.20G106200.2.p, GmISU01.10G214100.1.p, GmISU01.10G214100.4.p, GmISU01.10G214100.3.p, GmISU01.10G214100.2.p, GmISU01.20G105800.1.p, GmISU01.20G105800.2.p, GmISU01.20G105900.2.p, GmISU01.20G105900.1.p, GmISU01.20G106000.1.p
OG0000034	Aqcoe4G108500.1.p, Aqcoe7G167200.1.p, Aqcoe7G167200.2.p, Aqcoe7G167100.1.p	GmISU01.20G104200.1.p, GmISU01.20G105200.2.p, GmISU01.20G105200.1.p, GmISU01.01G012500.1.p, GmISU01.18G183400.1.p, GmISU01.10G214800.1.p, GmISU01.20G104500.1.p, GmISU01.20G104800.2.p, GmISU01.20G104700.1.p, GmISU01.20G104700.2.p, GmISU01.20G104400.1.p, GmISU01.20G104000.1.p, GmISU01.20G104600.1.p, GmISU01.10G214400.1.p, GmISU01.20G105000.1.p, GmISU01.20G103900.1.p, GmISU01.20G103700.2.p, GmISU01.20G103700.1.p, GmISU01.10G214900.1.p, GmISU01.10G214200.2.p, GmISU01.10G214200.1.p, GmISU01.10G214200.3.p, GmISU01.20G105400.1.p
OG0000037	Aqcoe5G170800.1.p	GmISU01.04G033500.1.p
