target_id	length	eff_length	est_counts	tpm
Dm_00012636-RA	414	226.337	50.5156	42.2036
Dm_00016618-RA	1359	1170.19	117	18.9064
Dm_00016620-RA	1776	1587.19	12	1.42966
Dm_00016619-RA	1482	1293.19	1637	239.368
Dm_00014798-RA	2283	2094.19	393	35.486
Dm_00011746-RA	930	741.191	121	30.8699
Dm_00011542-RA	1021	832.191	129	29.3121
Dm_00010486-RA	1644	1455.19	18	2.33902
Dm_00010485-RA	1428	1239.19	33	5.03566
Dm_00010422-RA	414	226.337	201	167.927
Dm_00011754-RA	3204	3015.19	522	32.7368
Dm_00011753-RA	645	456.303	55	22.7924
Dm_00009498-RA	1365	1176.19	9	1.44692
Dm_00011041-RA	1488	1299.19	38	5.53084
Dm_00011039-RA	1860	1671.19	241	27.2691
Dm_00011042-RA	1821	1632.19	71	8.22561
Dm_00011040-RA	693	504.253	0	0
Dm_00011615-RA	491	302.675	26	16.2434
Dm_00011011-RA	1350	1161.19	8003	1303.26
Dm_00011010-RA	780	591.253	32	10.2343
Dm_00011009-RA	318	132.839	144	204.984
Dm_00011012-RA	555	366.476	146	75.3335
Dm_00010884-RA	1794	1605.19	70	8.24616
Dm_00010885-RA	1833	1644.19	2	0.230016
Dm_00010886-RA	2370	2181.19	55	4.76815
Dm_00010883-RA	421	233.222	0	0
Dm_00011896-RA	1632	1443.19	170	22.2744
Dm_00011895-RA	1569	1380.19	133	18.2219
Dm_00011897-RA	339	152.87	40	49.4788
Dm_00011629-RA	759	570.253	0	0
Dm_00011576-RA	834	645.191	247.126	72.4286
Dm_00011577-RA	966	777.191	1431.27	348.237
Dm_00011578-RA	3969	3780.19	22	1.1005
Dm_00011579-RA	2337	2148.19	135	11.8834
Dm_00011335-RA	609	420.436	0	0
Dm_00011336-RA	987	798.191	0	0
Dm_00011259-RA	1701	1512.19	56	7.00264
Dm_00011260-RA	840	651.191	179	51.9787
Dm_00011548-RA	1257	1068.19	389	68.8623
Dm_00011549-RA	5361	5172.19	457	16.7079
Dm_00011551-RA	1278	1089.19	97	16.8402
Dm_00011550-RA	1620	1431.19	100	13.2124
Dm_00010412-RA	1710	1521.19	0	0
Dm_00011170-RA	2586	2397.19	3642	287.288
Dm_00011173-RA	1194	1005.19	494.045	92.9392
Dm_00011172-RA	324	138.604	0	0
Dm_00011171-RA	300	116.168	456	742.268
Dm_00010857-RA	216	45.8352	232	957.127
Dm_00012261-RA	747	558.253	3	1.01618
Dm_00012260-RA	756	567.253	1925	641.703
Dm_00011061-RA	1401	1212.19	37	5.7718
Dm_00011060-RA	264	84.1182	11	24.7277
Dm_00010499-RA	993	804.191	11	2.58651
Dm_00010497-RA	696	507.253	5	1.86391
Dm_00010496-RA	1374	1185.19	186	29.676
Dm_00010495-RA	489	300.675	270	169.804
Dm_00010498-RA	2067	1878.19	367	36.9494
Dm_00011718-RA	1557	1368.19	17	2.34954
Dm_00011717-RA	2472	2283.19	93	7.70232
Dm_00011719-RA	885	696.191	158	42.915
Dm_00011716-RA	807	618.253	32	9.78733
Dm_00011715-RA	486	297.705	23	14.6091
Dm_00010859-RA	1329	1140.19	131	21.7257
Dm_00009199-RA	1020	831.191	35	7.96247
Dm_00010384-RA	3567	3378.19	352	19.7033
Dm_00011488-RA	723	534.253	12	4.24732
Dm_00011489-RA	996	807.191	0	0
Dm_00011490-RA	477	288.734	61	39.9497
Dm_00010733-RA	1383	1194.19	0	0
Dm_00011429-RA	3591	3402.19	225	12.5056
Dm_00011427-RA	2382	2193.19	27	2.32792
Dm_00011428-RA	552	363.476	0	0
Dm_00011430-RA	2487	2298.19	45	3.7026
Dm_00010398-RA	498	309.644	1499	915.418
Dm_00010397-RA	423	235.222	7	5.62732
Dm_00008146-RA	2091	1902.19	91	9.04624
Dm_00008145-RA	858	669.191	0	0
Dm_00010588-RA	366	179.105	109	115.08
Dm_00010589-RA	528	339.545	336	187.121
Dm_00010771-RA	1713	1524.19	12	1.48875
Dm_00011703-RA	1650	1461.19	99	12.8118
Dm_00011702-RA	381	193.732	0	0
Dm_00011701-RA	462	273.818	0	0
Dm_00011023-RA	1464	1275.19	38	5.63494
Dm_00011024-RA	1653	1464.19	222	28.6705
Dm_00010752-RA	1983	1794.19	667	70.2972
Dm_00010751-RA	669	480.303	0	0
Dm_00010750-RA	522	333.579	1	0.566868
Dm_00010509-RA	870	681.191	49	13.6022
Dm_00010510-RA	1053	864.191	72	15.7545
Dm_00009648-RA	732	543.253	62	21.5809
Dm_00009649-RA	1992	1803.19	182	19.0858
Dm_00011891-RA	2352	2163.19	673	58.8303
Dm_00011892-RA	1017	828.191	337	76.9449
Dm_00011563-RA	1374	1185.19	34	5.42464
