Orthogroup	S_lycopersicum.proteins	D_muscipula.proteins
OG0000106	Solyc10g052560.1.1, Solyc10g052590.1.1, Solyc10g052530.1.1, Solyc10g052550.1.1, Solyc11g011605.1.1, Solyc04g052910.2.1, Solyc04g052890.2.1, Solyc10g052570.1.1, Solyc04g052980.1.1, Solyc04g052990.1.1, Solyc11g011670.1.1, Solyc11g011710.1.1, Solyc11g011640.1.1, Solyc04g052960.1.1, Solyc11g011690.1.1, Solyc11g011730.1.1, Solyc11g011630.2.1, Solyc11g011660.1.1, Solyc04g053030.1.1, Solyc04g053010.1.1, Solyc11g011615.1.1, Solyc04g053020.2.1	Dm_00014066-RA, Dm_00019398-RA, Dm_00003375-RA, Dm_00016346-RA, Dm_00019397-RA, Dm_00014065-RA, Dm_00017534-RA, Dm_00020809-RA
OG0000107	Solyc05g008805.1.1	Dm_00002832-RA, Dm_00001602-RA
OG0000107	Solyc02g086370.3.1, Solyc05g008820.3.1, Solyc05g008815.1.1	Dm_00001603-RA
OG0000108	Solyc06g009280.1.1, Solyc06g009290.3.1	Dm_00018091-RA, Dm_00012144-RA, Dm_00009382-RA
OG0000108	Solyc02g071350.3.1, Solyc02g071340.2.1	Dm_00014168-RA
OG0000109	Solyc01g110380.3.1	Dm_00003433-RA
OG0000109	Solyc02g084390.3.1, Solyc02g062330.2.1	Dm_00007914-RA
OG0000109	Solyc04g081060.3.1	Dm_00012182-RA
OG0000110	Solyc12g056820.2.1	Dm_00010771-RA
OG0000113	Solyc06g065970.1.1	Dm_00016399-RA
OG0000113	Solyc08g078920.2.1, Solyc08g079230.1.1, Solyc08g079190.1.1, Solyc08g079200.1.1, Solyc08g078870.2.1, Solyc06g060640.1.1	Dm_00006694-RA, Dm_00006695-RA
OG0000114	Solyc02g079540.2.1, Solyc02g079533.1.1, Solyc02g079550.2.1, Solyc04g008385.1.1, Solyc04g008370.2.1, Solyc04g008390.2.1, Solyc04g058110.3.1, Solyc02g079580.3.1, Solyc03g006720.1.1, Solyc03g006730.2.1	Dm_00013880-RA
OG0000115	Solyc04g076925.1.1	Dm_00013370-RA
OG0000115	Solyc01g100670.1.1, Solyc01g100680.1.1	Dm_00015940-RA, Dm_00015939-RA, Dm_00008526-RA, Dm_00005665-RA, Dm_00005666-RA
OG0000116	Solyc11g072840.1.1, Solyc04g011390.1.1, Solyc05g054610.1.1, Solyc06g075960.1.1, Solyc06g005420.1.1, Solyc06g005430.1.1, Solyc06g075930.1.1, Solyc06g075830.2.1, Solyc06g072240.1.1, Solyc11g072860.2.1	Dm_00014421-RA, Dm_00016555-RA, Dm_00004779-RA, Dm_00008694-RA
OG0000118	Solyc07g066080.3.1	Dm_00001565-RA
OG0000118	Solyc10g011740.3.1, Solyc01g095490.3.1	Dm_00002039-RA, Dm_00015779-RA
OG0000118	Solyc08g008220.3.1, Solyc05g050230.3.1, Solyc02g083570.3.1	Dm_00006495-RA
OG0000120	Solyc10g080420.2.1, Solyc10g080430.1.1, Solyc10g078680.2.1	Dm_00019247-RA
OG0000120	Solyc03g077920.1.1	Dm_00008637-RA
OG0000120	Solyc01g086720.3.1	Dm_00001877-RA
OG0000120	Solyc08g008020.1.1	Dm_00017973-RA
OG0000121	Solyc11g071650.2.1	Dm_00017678-RA
OG0000121	Solyc01g097000.3.1	Dm_00018618-RA
OG0000121	Solyc01g009240.3.1	Dm_00021095-RA
OG0000122	Solyc06g009950.1.1, Solyc05g020010.1.1	Dm_00016543-RA
OG0000122	Solyc12g035740.1.1	Dm_00009338-RA
OG0000122	Solyc12g032980.1.1, Solyc09g059640.2.1	Dm_00020293-RA
OG0000123	Solyc12g098090.1.1, Solyc05g053170.3.1	Dm_00013069-RA, Dm_00000436-RA
OG0000123	Solyc09g091510.3.1, Solyc05g053550.3.1	Dm_00006567-RA, Dm_00005134-RA
OG0000124	Solyc09g075670.1.1, Solyc06g054290.2.1	Dm_00007112-RA
OG0000125	Solyc09g074230.3.1	Dm_00004819-RA
OG0000125	Solyc02g005180.3.1, Solyc01g098490.3.1, Solyc01g098500.3.1	Dm_00000561-RA
OG0000125	Solyc01g080680.3.1	Dm_00019657-RA
OG0000126	Solyc03g063563.1.1	Dm_00000361-RA, Dm_00016740-RA, Dm_00011436-RA, Dm_00008990-RA, Dm_00016735-RA, Dm_00010571-RA, Dm_00015900-RA, Dm_00018285-RA, Dm_00012242-RA, Dm_00020196-RA, Dm_00008378-RA, Dm_00010641-RA, Dm_00017870-RA, Dm_00017344-RA, Dm_00007714-RA, Dm_00016477-RA, Dm_00013903-RA, Dm_00014573-RA, Dm_00005711-RA, Dm_00018317-RA, Dm_00018185-RA, Dm_00004452-RA, Dm_00011635-RA, Dm_00013614-RA, Dm_00019586-RA, Dm_00003267-RA, Dm_00013189-RA, Dm_00015995-RA, Dm_00015390-RA, Dm_00013188-RA, Dm_00005848-RA, Dm_00009927-RA
OG0000126	Solyc03g083835.1.1	Dm_00014906-RA, Dm_00016307-RA
OG0000126	Solyc03g013130.1.1	Dm_00008348-RA, Dm_00018472-RA, Dm_00011128-RA
OG0000127	Solyc09g074530.3.1	Dm_00001228-RA, Dm_00006084-RA
OG0000127	Solyc06g072630.3.1, Solyc03g097870.3.1, Solyc03g097590.3.1, Solyc03g097600.3.1, Solyc03g097570.3.1, Solyc03g097585.1.1, Solyc06g072620.3.1, Solyc03g097580.3.1, Solyc03g097610.3.1, Solyc06g072640.1.1	Dm_00000969-RA, Dm_00000275-RA, Dm_00000966-RA, Dm_00015587-RA
OG0000129	Solyc08g006500.3.1, Solyc06g063210.3.1, Solyc06g063180.2.1, Solyc06g063200.2.1, Solyc06g063170.3.1, Solyc06g063190.3.1	Dm_00019326-RA
OG0000131	Solyc03g123410.1.1	Dm_00020931-RA, Dm_00002070-RA
OG0000134	Solyc04g079260.3.1, Solyc04g079250.3.1, Solyc04g079240.3.1	Dm_00002439-RA, Dm_00009619-RA, Dm_00002440-RA
OG0000135	Solyc04g049400.3.1	Dm_00006540-RA, Dm_00009257-RA
OG0000135	Solyc05g047550.3.1	Dm_00010456-RA, Dm_00019007-RA
OG0000136	Solyc02g083580.4.1, Solyc03g033420.3.1, Solyc02g062020.3.1	Dm_00005806-RA
OG0000137	Solyc05g054380.2.1, Solyc09g091000.3.1, Solyc12g096960.2.1, Solyc09g090990.2.1, Solyc09g090970.3.1, Solyc09g090980.3.1	Dm_00020784-RA, Dm_00016612-RA, Dm_00005256-RA, Dm_00006644-RA, Dm_00015272-RA, Dm_00020969-RA, Dm_00020646-RA
OG0000140	Solyc11g011590.2.1, Solyc11g011580.2.1, Solyc04g008950.3.1, Solyc04g008940.3.1, Solyc11g011600.2.1, Solyc04g008930.2.1, Solyc04g008970.3.1, Solyc04g008960.3.1	Dm_00010965-RA
OG0000143	Solyc04g074340.3.1, Solyc04g074330.3.1, Solyc04g074390.3.1, Solyc04g074380.3.1, Solyc04g074350.3.1, Solyc04g074360.2.1, Solyc12g057060.2.1, Solyc12g057080.2.1, Solyc12g057070.2.1	Dm_00003928-RA
OG0000144	Solyc01g103940.3.1	Dm_00009698-RA, Dm_00010190-RA
