Orthogroup	A_hypochondriacus.proteins	P_amilis.proteins
OG0008634	AH007105-RA	FUN_014934-T1, FUN_014934-T2
OG0008635	AH013263-RA	FUN_020613-T1
OG0008636	AH006495-RA	FUN_003498-T1
OG0008636	AH020574-RA	FUN_034092-T1, FUN_034092-T2
OG0008637	AH006883-RA	FUN_003699-T1
OG0008639	AH002693-RA, AH017688-RA	FUN_002622-T1
OG0008640	AH005159-RA	FUN_031936-T1
OG0008641	AH007054-RA, AH019835-RA	FUN_020215-T2, FUN_020215-T1
OG0008642	AH010780-RA, AH010333-RA	FUN_014841-T1
OG0008643	AH006904-RA	FUN_046365-T1
OG0008644	AH006857-RA	FUN_032969-T1, FUN_004802-T1
OG0008646	AH013615-RA	FUN_025050-T1
OG0008648	AH007780-RA	FUN_040385-T1
OG0008649	AH013512-RA, AH022543-RA	FUN_047928-T2, FUN_047928-T3, FUN_047928-T1
OG0008650	AH020575-RA, AH006492-RA	FUN_003496-T1, FUN_034096-T1
OG0008652	AH022140-RA	FUN_025022-T1
OG0008653	AH001312-RA	FUN_026026-T1
OG0008654	AH013109-RA, AH022139-RA	FUN_050462-T1
OG0008655	AH007189-RA	FUN_040514-T1, FUN_040514-T2, FUN_015072-T1
OG0008656	AH007290-RA	FUN_045227-T1
OG0008657	AH007695-RA	FUN_036521-T1
OG0008658	AH016921-RA, AH016920-RA	FUN_035148-T1
OG0008660	AH010051-RA, AH013685-RA, AH013684-RA	FUN_036897-T2, FUN_036897-T1
OG0008661	AH002117-RA	FUN_014584-T1
OG0008662	AH010695-RA, AH007836-RA	FUN_022489-T1
OG0008666	AH008126-RA, AH007810-RA	FUN_021919-T1
OG0008667	AH022018-RA, AH012752-RA	FUN_047467-T2, FUN_047467-T1
OG0008668	AH000386-RA, AH001489-RA	FUN_042281-T1
OG0008669	AH013211-RA	FUN_005441-T1
OG0008670	AH003064-RA, AH018816-RA	FUN_008034-T1, FUN_008034-T2, FUN_008034-T3
OG0008672	AH015271-RA	FUN_010951-T1
OG0008673	AH020031-RA, AH011718-RA	FUN_014122-T1
OG0008674	AH018211-RA	FUN_017414-T1
OG0008675	AH010447-RA	FUN_000481-T2, FUN_000481-T1
OG0008677	AH010661-RA	FUN_020959-T1
OG0008678	AH006541-RA, AH020537-RA	FUN_034031-T1
OG0008680	AH011840-RA	FUN_000613-T1
OG0008681	AH013592-RA	FUN_025069-T1, FUN_050377-T1, FUN_050377-T2
OG0008682	AH022098-RA	FUN_012837-T1
OG0008683	AH007666-RA	FUN_001891-T2, FUN_001891-T1
OG0008684	AH006878-RA	FUN_033010-T1, FUN_033010-T2
OG0008685	AH006802-RA	FUN_032885-T2, FUN_032885-T1
OG0008686	AH011810-RA, AH019995-RA	FUN_014192-T1
OG0008687	AH013037-RA	FUN_024945-T1, FUN_043556-T2, FUN_043556-T1
OG0008688	AH013243-RA	FUN_048756-T1
OG0008689	AH013130-RA	FUN_047728-T1, FUN_025040-T1
OG0008690	AH016854-RA	FUN_025652-T1, FUN_042664-T1
OG0008691	AH007474-RA	FUN_036238-T1
OG0008692	AH010965-RA, AH007721-RA	FUN_052703-T1
OG0008693	AH004214-RA	FUN_015174-T1
OG0008694	AH005142-RA	FUN_020458-T3, FUN_020458-T1, FUN_020458-T2
OG0008695	AH006973-RA, AH020185-RA	FUN_033195-T1
OG0008696	AH005945-RA	FUN_029634-T1
OG0008697	AH009405-RA	FUN_037796-T1, FUN_037794-T1, FUN_037797-T1
OG0008698	AH023762-RA	FUN_025617-T2, FUN_025617-T1
OG0008699	AH003115-RA	FUN_021182-T1
OG0008700	AH016793-RA	FUN_025730-T1, FUN_025730-T2
OG0008701	AH015865-RA	FUN_029978-T1
OG0008702	AH008872-RA	FUN_038653-T1, FUN_044179-T3, FUN_044179-T2, FUN_044179-T1
OG0008703	AH005654-RA	FUN_025500-T1
OG0008704	AH005740-RA	FUN_030646-T1
OG0008705	AH013879-RA	FUN_048968-T1, FUN_048969-T1
OG0008707	AH014404-RA	FUN_026809-T1, FUN_026809-T2, FUN_026807-T1
OG0008708	AH012167-RA	FUN_015290-T1
OG0008709	AH008862-RA	FUN_038667-T1
OG0008711	AH020237-RA, AH019839-RA, AH020224-RA	FUN_014963-T1
OG0008712	AH009009-RA, AH023602-RA	FUN_037915-T1, FUN_048471-T1
OG0008713	AH010373-RA	FUN_035912-T1, FUN_035912-T3, FUN_035912-T4, FUN_035912-T2
OG0008714	AH005587-RA	FUN_001123-T1, FUN_030245-T1
OG0008715	AH002439-RA	FUN_005624-T1
OG0008716	AH021519-RA	FUN_012466-T1
OG0008717	AH006628-RA	FUN_025716-T1, FUN_042715-T1
OG0008718	AH008956-RA	FUN_049776-T1
OG0008718	AH003782-RA	FUN_031041-T1
OG0008719	AH005710-RA	FUN_009656-T1
OG0008722	AH001683-RA	FUN_051697-T1
OG0008723	AH003718-RA	FUN_019236-T1, FUN_029510-T1
OG0008724	AH002427-RA	FUN_052069-T2, FUN_052069-T1
OG0008725	AH015406-RA	FUN_036725-T1
OG0008727	AH001695-RA	FUN_051675-T2, FUN_051675-T1
OG0008728	AH008546-RA	FUN_001362-T1, FUN_026997-T1
OG0008729	AH001995-RA	FUN_021506-T1
OG0008730	AH005932-RA, AH003625-RA	FUN_031143-T2, FUN_031143-T1, FUN_025519-T1
OG0008731	AH017519-RA	FUN_045488-T1, FUN_011185-T1
OG0008732	AH007800-RA	FUN_040362-T2, FUN_040362-T5, FUN_040362-T1
OG0008733	AH008947-RA	FUN_049785-T1
OG0008734	AH016733-RA	FUN_011511-T1
OG0008735	AH005704-RA, AH003870-RA	FUN_030568-T1
OG0008736	AH005666-RA, AH003663-RA, AH023056-RA	FUN_004329-T1
OG0008737	AH014650-RA	FUN_001962-T1, FUN_001962-T2
OG0008738	AH000429-RA	FUN_026927-T1, FUN_026927-T2
OG0008739	AH006460-RA	FUN_025542-T1
OG0008740	AH008991-RA	FUN_037929-T1
OG0008741	AH005983-RA	FUN_008228-T1, FUN_004199-T1
OG0008742	AH003893-RA	FUN_017805-T1
OG0008743	AH016666-RA, AH008417-RA	FUN_024547-T1
OG0008744	AH005564-RA	FUN_031394-T1
OG0008745	AH005530-RA	FUN_048185-T1, FUN_048185-T2
OG0008746	AH004568-RA, AH005214-RA	FUN_025262-T1, FUN_031778-T1
OG0008747	AH019078-RA	FUN_039872-T1
OG0008748	AH000575-RA	FUN_043191-T1, FUN_050567-T1, FUN_043191-T2, FUN_043191-T3
OG0008749	AH001854-RA, AH000586-RA	FUN_002306-T1
OG0008750	AH008495-RA	FUN_001190-T1
OG0008751	AH017568-RA	FUN_020424-T1
OG0008752	AH016816-RA	FUN_025702-T2, FUN_025702-T1
OG0008753	AH018449-RA, AH011547-RA	FUN_017700-T2, FUN_017700-T1
OG0008754	AH006554-RA	FUN_026925-T1
OG0008756	AH004260-RA, AH005252-RA	FUN_020418-T1
OG0008756	AH007679-RA, AH010911-RA	FUN_028806-T1
OG0008757	AH004517-RA	FUN_004821-T1
OG0008758	AH013114-RA, AH008636-RA	FUN_038799-T1, FUN_038798-T1
OG0008759	AH009224-RA	FUN_037121-T1
OG0008760	AH002090-RA	FUN_000147-T1
OG0008761	AH001677-RA	FUN_053300-T2, FUN_053300-T1
OG0008762	AH010665-RA	FUN_052263-T1
OG0008763	AH006515-RA	FUN_034068-T1
OG0008764	AH008850-RA	FUN_048516-T1, FUN_037971-T2, FUN_037971-T1
OG0008765	AH008639-RA	FUN_000337-T1
OG0008766	AH017256-RA, AH002767-RA	FUN_002336-T1
OG0008767	AH000838-RA, AH002244-RA	FUN_045700-T1, FUN_051942-T1
OG0008768	AH021242-RA, AH014682-RA	FUN_038453-T1
OG0008769	AH014254-RA	FUN_046502-T1
OG0008770	AH008871-RA	FUN_038654-T1, FUN_044177-T1
OG0008771	AH008138-RA, AH009723-RA	FUN_024927-T1
OG0008772	AH009361-RA	FUN_037831-T1
OG0008773	AH018892-RA	FUN_048510-T2, FUN_048510-T1
OG0008774	AH009111-RA	FUN_049657-T1
OG0008775	AH000489-RA	FUN_033772-T1
OG0008776	AH002169-RA	FUN_000848-T2, FUN_000848-T1
OG0008777	AH006224-RA	FUN_020919-T1, FUN_020919-T2
OG0008778	AH001447-RA	FUN_015633-T1
OG0008779	AH008059-RA, AH010063-RA	FUN_046616-T1
OG0008780	AH011527-RA	FUN_017642-T1
OG0008781	AH006076-RA, AH004112-RA	FUN_046558-T1, FUN_016609-T1
OG0008782	AH000045-RA	FUN_003104-T1
OG0008783	AH015193-RA, AH021561-RA	FUN_008460-T1
OG0008784	AH011208-RA	FUN_052433-T1
OG0008785	AH022610-RA	FUN_004340-T1
OG0008787	AH008006-RA, AH010576-RA	FUN_011861-T2, FUN_011861-T1
OG0008788	AH002953-RA, AH017391-RA	FUN_011338-T1
OG0008789	AH014719-RA	FUN_034731-T1
OG0008790	AH003197-RA	FUN_040131-T1
OG0008791	AH021742-RA	FUN_014391-T1
OG0008792	AH016296-RA	FUN_021019-T1
OG0008793	AH008130-RA	FUN_011999-T2, FUN_011999-T1
OG0008794	AH021676-RA	FUN_036697-T1
OG0008795	AH005488-RA	FUN_027987-T1, FUN_018818-T1, FUN_018818-T2
OG0008796	AH007987-RA	FUN_000729-T2, FUN_000729-T1, FUN_041282-T1
OG0008797	AH020064-RA	FUN_022329-T1
OG0008798	AH013609-RA	FUN_025053-T1, FUN_050404-T1
OG0008799	AH008120-RA	FUN_012018-T2, FUN_012018-T3, FUN_012018-T4, FUN_012018-T1
OG0008800	AH000161-RA	FUN_012606-T1
OG0008801	AH014333-RA	FUN_028263-T1
OG0008802	AH014202-RA	FUN_012725-T1, FUN_012725-T3, FUN_012725-T2
OG0008803	AH000120-RA	FUN_045521-T1
OG0008804	AH018187-RA	FUN_011734-T1
OG0008805	AH019780-RA	FUN_020495-T1, FUN_043772-T1
OG0008806	AH000047-RA	FUN_011760-T1
OG0008808	AH008191-RA	FUN_049914-T2, FUN_049914-T1
OG0008809	AH009987-RA	FUN_014699-T1
OG0008810	AH002035-RA	FUN_016072-T1
OG0008811	AH003106-RA	FUN_008222-T1, FUN_008222-T2
OG0008812	AH021039-RA	FUN_052827-T2, FUN_052827-T3, FUN_052827-T1
OG0008813	AH016198-RA, AH023318-RA	FUN_004963-T1
OG0008814	AH013308-RA	FUN_028636-T1
OG0008815	AH015125-RA	FUN_008639-T1
OG0008816	AH022280-RA	FUN_036977-T2, FUN_036977-T1
OG0008817	AH015097-RA, AH021617-RA	FUN_008689-T2, FUN_008689-T1
OG0008818	AH011284-RA	FUN_041033-T1
OG0008819	AH018308-RA	FUN_017190-T1, FUN_017190-T2
OG0008820	AH000108-RA	FUN_052845-T1
OG0008821	AH007751-RA	FUN_048145-T1
OG0008822	AH015900-RA	FUN_005973-T1
OG0008823	AH014387-RA	FUN_026842-T1
OG0008824	AH019977-RA	FUN_030768-T1
OG0008826	AH019036-RA	FUN_008252-T1
OG0008827	AH020643-RA	FUN_001736-T1
OG0008828	AH023299-RA	FUN_035938-T1
OG0008829	AH012329-RA	FUN_022557-T1
OG0008830	AH012346-RA	FUN_022610-T3, FUN_022610-T2, FUN_022610-T1
OG0008831	AH008229-RA	FUN_031118-T1
OG0008833	AH002032-RA	FUN_016014-T1, FUN_006224-T1
OG0008835	AH014407-RA	FUN_026795-T1
OG0008837	AH009630-RA	FUN_048081-T1
OG0008840	AH016235-RA	FUN_004839-T1
OG0008842	AH014111-RA	FUN_007739-T1, FUN_007739-T3, FUN_007739-T2
OG0008843	AH014269-RA	FUN_052861-T1
OG0008844	AH020422-RA	FUN_050059-T1, FUN_023909-T1
OG0008845	AH011785-RA	FUN_019092-T1
OG0008846	AH011223-RA, AH011225-RA, AH011224-RA	FUN_036068-T1
OG0008848	AH012043-RA	FUN_013735-T1
OG0008849	AH014314-RA	FUN_012763-T1, FUN_028409-T1
OG0008851	AH001533-RA	FUN_006493-T1, FUN_006493-T2
OG0008852	AH016074-RA	FUN_019326-T1, FUN_005251-T1
OG0008853	AH021200-RA	FUN_040438-T1
OG0008854	AH014273-RA	FUN_052826-T1
OG0008856	AH004998-RA	FUN_046470-T1, FUN_036301-T1
OG0008857	AH002232-RA, AH000850-RA	FUN_045678-T1, FUN_051885-T1
OG0008858	AH013485-RA	FUN_030272-T1
OG0008859	AH022465-RA	FUN_007650-T1
OG0008860	AH002079-RA	FUN_006291-T1
OG0008861	AH013277-RA	FUN_009623-T1, FUN_009623-T2
OG0008862	AH018128-RA	FUN_018399-T1, FUN_041172-T1
OG0008864	AH002119-RA	FUN_001819-T1
OG0008865	AH014427-RA	FUN_026781-T1
OG0008866	AH023343-RA	FUN_003238-T2, FUN_003238-T1
OG0008867	AH020781-RA	FUN_026273-T2, FUN_026273-T1, FUN_012967-T1
OG0008868	AH013312-RA	FUN_050014-T1
OG0008869	AH000464-RA	FUN_006299-T1
OG0008870	AH018839-RA	FUN_027793-T2, FUN_027793-T1
OG0008872	AH015727-RA, AH002702-RA	FUN_044752-T3, FUN_044752-T1, FUN_044752-T2
OG0008873	AH003056-RA	FUN_041979-T1
OG0008874	AH009518-RA	FUN_048218-T1
OG0008876	AH013079-RA	FUN_040641-T1, FUN_053256-T1
OG0008877	AH001078-RA	FUN_031750-T1
OG0008879	AH012343-RA, AH012342-RA	FUN_022600-T1
OG0008880	AH013432-RA, AH022311-RA	FUN_024064-T1, FUN_050170-T1
OG0008881	AH022288-RA	FUN_025216-T1
OG0008882	AH007144-RA	FUN_039845-T2, FUN_039845-T3, FUN_039845-T1
OG0008883	AH012286-RA	FUN_015463-T1
OG0008884	AH017064-RA	FUN_006055-T1
OG0008885	AH018751-RA, AH003124-RA	FUN_040598-T1
OG0008886	AH012071-RA	FUN_013751-T1, FUN_009027-T2, FUN_009027-T1
OG0008887	AH019127-RA, AH015805-RA	FUN_001807-T2, FUN_001807-T1
OG0008888	AH018223-RA, AH011437-RA	FUN_014673-T1
OG0008889	AH001562-RA	FUN_015895-T1, FUN_015895-T2
OG0008890	AH009101-RA	FUN_037058-T2, FUN_037058-T4, FUN_037058-T3, FUN_037058-T1
OG0008891	AH001954-RA	FUN_021601-T1, FUN_021601-T2
OG0008892	AH006410-RA, AH014389-RA	FUN_026838-T1
OG0008893	AH014505-RA	FUN_010251-T1, FUN_010251-T2
OG0008894	AH016039-RA	FUN_047645-T2, FUN_047645-T1
OG0008896	AH018460-RA	FUN_041748-T1, FUN_041748-T2
OG0008899	AH014825-RA, AH021388-RA	FUN_036789-T1
OG0008900	AH020370-RA	FUN_053017-T3, FUN_053017-T2, FUN_053017-T1
OG0008901	AH015941-RA, AH023529-RA	FUN_000924-T1
OG0008902	AH000080-RA, AH001105-RA, AH000079-RA	FUN_010655-T1
OG0008903	AH006462-RA	FUN_025539-T2, FUN_025539-T3, FUN_025539-T1
OG0008904	AH016648-RA	FUN_034835-T1, FUN_034835-T2
OG0008906	AH018820-RA	FUN_008044-T1, FUN_041973-T1
OG0008907	AH018959-RA	FUN_039783-T1, FUN_039783-T2
OG0008908	AH019282-RA	FUN_018973-T1
OG0008910	AH022136-RA	FUN_026059-T2, FUN_026059-T3, FUN_026059-T1
OG0008912	AH021290-RA	FUN_034693-T1
OG0008914	AH022657-RA, AH013884-RA	FUN_037892-T1
OG0008915	AH013808-RA	FUN_006637-T1
OG0008916	AH006803-RA	FUN_032889-T1, FUN_032889-T2
OG0008917	AH007640-RA	FUN_034662-T1
OG0008918	AH023401-RA	FUN_014598-T1, FUN_014598-T2
OG0008919	AH000158-RA	FUN_027321-T1
OG0008920	AH015939-RA	FUN_005857-T3, FUN_005857-T1, FUN_005857-T2
OG0008922	AH020488-RA, AH006668-RA	FUN_033933-T1
OG0008923	AH015589-RA, AH007415-RA	FUN_001690-T1
OG0008924	AH016934-RA	FUN_038710-T1
OG0008925	AH014777-RA	FUN_034969-T1
OG0008926	AH018806-RA	FUN_018045-T1
OG0008927	AH008175-RA	FUN_049881-T1
OG0008928	AH022449-RA	FUN_049358-T1
OG0008929	AH016871-RA, AH023734-RA	FUN_052055-T1
OG0008930	AH010849-RA	FUN_020033-T1
OG0008931	AH000243-RA	FUN_015545-T1, FUN_015545-T2
OG0008932	AH004228-RA	FUN_008183-T1
OG0008933	AH001278-RA, AH015154-RA	FUN_027259-T1
OG0008934	AH009618-RA	FUN_037332-T1
OG0008935	AH002863-RA	FUN_012174-T1
OG0008936	AH015257-RA	FUN_043262-T1
OG0008938	AH009794-RA	FUN_046279-T1
OG0008939	AH013207-RA	FUN_007708-T1
OG0008940	AH013084-RA	FUN_001687-T2, FUN_001687-T1
OG0008941	AH022732-RA	FUN_003860-T1
OG0008942	AH021782-RA	FUN_020366-T1
OG0008943	AH020461-RA	FUN_014622-T1
OG0008944	AH022071-RA	FUN_005481-T1
OG0008945	AH021103-RA	FUN_028206-T1
OG0008947	AH012649-RA	FUN_039138-T1, FUN_039138-T2
OG0008948	AH022620-RA, AH013847-RA	FUN_048910-T1
OG0008949	AH006879-RA	FUN_003691-T1
OG0008950	AH004180-RA	FUN_020091-T2, FUN_020091-T1
OG0008951	AH004018-RA	FUN_033790-T2, FUN_033790-T1
OG0008953	AH010892-RA	FUN_003114-T1
OG0008954	AH021326-RA	FUN_034798-T1
OG0008955	AH022995-RA	FUN_030128-T1
OG0008956	AH011017-RA	FUN_036317-T1
OG0008957	AH010549-RA, AH010550-RA	FUN_002430-T4, FUN_002430-T3, FUN_002430-T1, FUN_002430-T2
OG0008958	AH010072-RA	FUN_046635-T1
OG0008960	AH020353-RA	FUN_004689-T1
OG0008961	AH004212-RA	FUN_003875-T1
OG0008962	AH021931-RA	FUN_047621-T1, FUN_019038-T1
OG0008963	AH001298-RA	FUN_027432-T1
OG0008964	AH016631-RA	FUN_045447-T1
OG0008965	AH010143-RA, AH008001-RA	FUN_046709-T1
OG0008966	AH019373-RA	FUN_005058-T1, FUN_041630-T1
OG0008967	AH007802-RA	FUN_021927-T1, FUN_021927-T2
OG0008968	AH011819-RA	FUN_028030-T1
OG0008969	AH022358-RA, AH013527-RA	FUN_025155-T1
OG0008970	AH021723-RA	FUN_020324-T1
OG0008971	AH008166-RA	FUN_047187-T1
OG0008972	AH013655-RA	FUN_049270-T1
OG0008973	AH022476-RA	FUN_007633-T1, FUN_007633-T3, FUN_007633-T4, FUN_007633-T2
OG0008974	AH018166-RA	FUN_033266-T1, FUN_033293-T1, FUN_033236-T1, FUN_033295-T1
OG0008975	AH019883-RA	FUN_015014-T1
OG0008976	AH021495-RA	FUN_012339-T1
OG0008977	AH022729-RA	FUN_049487-T2, FUN_049487-T3, FUN_049487-T1
OG0008978	AH022600-RA, AH013860-RA	FUN_048936-T3, FUN_048936-T2, FUN_048936-T1
OG0008979	AH010315-RA	FUN_043784-T1
OG0008981	AH008007-RA	FUN_028261-T1, FUN_028260-T1
OG0008983	AH020523-RA	FUN_034011-T1, FUN_034010-T1
OG0008984	AH015624-RA	FUN_029209-T1
OG0008985	AH015886-RA	FUN_014623-T1
OG0008986	AH017725-RA, AH003732-RA	FUN_010314-T1, FUN_051254-T1
OG0008987	AH023134-RA	FUN_030432-T1, FUN_019059-T1
OG0008988	AH001374-RA, AH001375-RA	FUN_015784-T1, FUN_012682-T1, FUN_012681-T1
OG0008989	AH017441-RA	FUN_023834-T1
OG0008990	AH012550-RA, AH012549-RA, AH021768-RA	FUN_038964-T1, FUN_020285-T1
OG0008991	AH016278-RA	FUN_021001-T1
OG0008992	AH005903-RA, AH009909-RA	FUN_039563-T1
OG0008994	AH007265-RA	FUN_044027-T1
OG0008995	AH011034-RA	FUN_052659-T2, FUN_052659-T3, FUN_052659-T1
OG0008996	AH021648-RA	FUN_036643-T1, FUN_036643-T2
OG0008997	AH014895-RA	FUN_012199-T1, FUN_012199-T3, FUN_012199-T2
OG0008998	AH006295-RA, AH003443-RA	FUN_012593-T1, FUN_020744-T1
OG0008999	AH007710-RA	FUN_020929-T1
OG0009001	AH003395-RA, AH012839-RA	FUN_042881-T1, FUN_042880-T1, FUN_042879-T1
OG0009002	AH007967-RA	FUN_047630-T1
OG0009003	AH001998-RA	FUN_016250-T1
OG0009004	AH020341-RA	FUN_004785-T1
OG0009005	AH022466-RA	FUN_009211-T1
OG0009006	AH008154-RA	FUN_045940-T1
OG0009007	AH010028-RA	FUN_046579-T1, FUN_011958-T1
OG0009008	AH002766-RA	FUN_011661-T1
OG0009008	AH021582-RA	FUN_035503-T1, FUN_035504-T1, FUN_008578-T1
OG0009009	AH009030-RA	FUN_037849-T2, FUN_037849-T1
OG0009010	AH010331-RA	FUN_051624-T1
OG0009010	AH020215-RA	FUN_033105-T1
OG0009011	AH013529-RA	FUN_050283-T3, FUN_050283-T2, FUN_050283-T1
OG0009012	AH022361-RA	FUN_050286-T1
OG0009012	AH013531-RA	FUN_025148-T1, FUN_050285-T1, FUN_050284-T1
OG0009013	AH020604-RA, AH000001-RA	FUN_003456-T1, FUN_003456-T2
OG0009014	AH013551-RA	FUN_025143-T1
OG0009015	AH009447-RA	FUN_048339-T1
OG0009016	AH008786-RA	FUN_038226-T1
OG0009017	AH004918-RA	FUN_053192-T1, FUN_053192-T2
OG0009018	AH023598-RA	FUN_037937-T1, FUN_037937-T2
OG0009019	AH007099-RA	FUN_014466-T1
OG0009020	AH006414-RA	FUN_012791-T1, FUN_012791-T2
OG0009021	AH006209-RA	FUN_020878-T1
OG0009022	AH008927-RA	FUN_038576-T1
OG0009023	AH011871-RA	FUN_048359-T1
OG0009024	AH005180-RA	FUN_025306-T2, FUN_025306-T1
OG0009025	AH007210-RA	FUN_015117-T1
OG0009026	AH011358-RA	FUN_041212-T1
OG0009028	AH004528-RA, AH004527-RA, AH005160-RA	FUN_025324-T1, FUN_031930-T1
OG0009029	AH007618-RA	FUN_023494-T2, FUN_023494-T1
OG0009030	AH001764-RA	FUN_008797-T1
OG0009031	AH023693-RA	FUN_025707-T1
OG0009032	AH009856-RA	FUN_051639-T1, FUN_041144-T1
OG0009033	AH006001-RA	FUN_017010-T3, FUN_017010-T2, FUN_017010-T1
OG0009035	AH019973-RA	FUN_014825-T1, FUN_014825-T2
OG0009036	AH009428-RA	FUN_048371-T1, FUN_048372-T2, FUN_048372-T1
OG0009037	AH002553-RA	FUN_038496-T1
OG0009038	AH017279-RA	FUN_044966-T2, FUN_044966-T1
OG0009039	AH012038-RA, AH019637-RA	FUN_013723-T1, FUN_008987-T1
OG0009040	AH005282-RA	FUN_045587-T1
OG0009041	AH007621-RA	FUN_051518-T1, FUN_051518-T2
OG0009042	AH008999-RA	FUN_037926-T2, FUN_037926-T1
OG0009043	AH001801-RA	FUN_002235-T1
OG0009044	AH007528-RA	FUN_002467-T1, FUN_002467-T2
OG0009045	AH007402-RA	FUN_020712-T1
OG0009046	AH012108-RA, AH019602-RA	FUN_013817-T1
OG0009047	AH004332-RA, AH005000-RA	FUN_052428-T1
OG0009048	AH011887-RA, AH019738-RA	FUN_043406-T1
OG0009049	AH018154-RA	FUN_018423-T1
OG0009050	AH014889-RA	FUN_039244-T1
OG0009051	AH005421-RA	FUN_023841-T1
OG0009052	AH010798-RA	FUN_013786-T1
OG0009053	AH009527-RA	FUN_037497-T1, FUN_048206-T1
OG0009054	AH013010-RA	FUN_043656-T1
OG0009055	AH014621-RA, AH021194-RA	FUN_037542-T1
OG0009056	AH006103-RA	FUN_019211-T1
OG0009057	AH022923-RA	FUN_029983-T1
OG0009059	AH008524-RA	FUN_001315-T1, FUN_026967-T1
OG0009060	AH000952-RA, AH001622-RA	FUN_047171-T1, FUN_047171-T2
OG0009061	AH012832-RA	FUN_024554-T1, FUN_024554-T2
OG0009062	AH006962-RA	FUN_005762-T1
OG0009063	AH021176-RA	FUN_001967-T1
OG0009064	AH002253-RA	FUN_051956-T2, FUN_051956-T3, FUN_051956-T1
OG0009065	AH007048-RA	FUN_033248-T1
OG0009066	AH002532-RA	FUN_010739-T1
OG0009067	AH003314-RA	FUN_036797-T1
OG0009068	AH012941-RA	FUN_024721-T1, FUN_024721-T3, FUN_024721-T2
OG0009069	AH009385-RB, AH009385-RA	FUN_037830-T1, FUN_048428-T1
OG0009070	AH019624-RA	FUN_021235-T1, FUN_021235-T2
OG0009071	AH002535-RA	FUN_047330-T1, FUN_010724-T1
OG0009072	AH018631-RA, AH013638-RA	FUN_007958-T1, FUN_043250-T1, FUN_027069-T1, FUN_040844-T1, FUN_040843-T1
OG0009073	AH022851-RA, AH011854-RA	FUN_014534-T1, FUN_014474-T1, FUN_014475-T1
OG0009074	AH002976-RA, AH017245-RA	FUN_046937-T1
OG0009075	AH018658-RA	FUN_007992-T1, FUN_007992-T3, FUN_007992-T2
OG0009076	AH008566-RA	FUN_027121-T2, FUN_027121-T1, FUN_027121-T3
OG0009077	AH019274-RA	FUN_030913-T1
OG0009078	AH004046-RA	FUN_031659-T1
OG0009079	AH009584-RA	FUN_052509-T1, FUN_036198-T1
OG0009080	AH020206-RA	FUN_012910-T1
OG0009082	AH006036-RA, AH003695-RA	FUN_029524-T3, FUN_029524-T1, FUN_029524-T2
OG0009083	AH007299-RA	FUN_007539-T2, FUN_007539-T1
OG0009084	AH007735-RA	FUN_002631-T1
OG0009085	AH003909-RA	FUN_052794-T3, FUN_052794-T1, FUN_030469-T1
OG0009086	AH019283-RA	FUN_029242-T1, FUN_018972-T1
OG0009087	AH019829-RA	FUN_046730-T1
OG0009088	AH005207-RA	FUN_031814-T1, FUN_025268-T2, FUN_025268-T1
OG0009089	AH011353-RA	FUN_018049-T1
OG0009090	AH011382-RA, AH011615-RA	FUN_023972-T2, FUN_023972-T3, FUN_023972-T1
OG0009091	AH008333-RA	FUN_024205-T2, FUN_024205-T1
OG0009092	AH023761-RA	FUN_025622-T2, FUN_025622-T1
OG0009093	AH020168-RA	FUN_033229-T1
OG0009094	AH009134-RA	FUN_049635-T1
OG0009095	AH013276-RA	FUN_049959-T1
OG0009096	AH010392-RA	FUN_051608-T1
OG0009097	AH017746-RA	FUN_010304-T1
OG0009098	AH012870-RA	FUN_049608-T1
OG0009099	AH007867-RA	FUN_000165-T1
OG0009100	AH001659-RA	FUN_047216-T1, FUN_051723-T2, FUN_051723-T1
OG0009101	AH014668-RA	FUN_040361-T1, FUN_040361-T3
OG0009102	AH019134-RA	FUN_029135-T1
OG0009103	AH017915-RA	FUN_010727-T1
OG0009104	AH001098-RA	FUN_031717-T1
OG0009105	AH016512-RA, AH022848-RA	FUN_029815-T1
OG0009106	AH007986-RA, AH010159-RA	FUN_040733-T1
OG0009107	AH005557-RA	FUN_023487-T1, FUN_023492-T1, FUN_033887-T1, FUN_033887-T2
OG0009108	AH014603-RA	FUN_003003-T1
OG0009109	AH014678-RA	FUN_000247-T1
OG0009110	AH000018-RA	FUN_027714-T1, FUN_027714-T3, FUN_027714-T2
OG0009111	AH019415-RA	FUN_015248-T1
OG0009113	AH018321-RA	FUN_017239-T1, FUN_017236-T2, FUN_017236-T1
OG0009114	AH017315-RA	FUN_047457-T1
OG0009115	AH017825-RA	FUN_050984-T1, FUN_010540-T1
OG0009116	AH020232-RA, AH004452-RA	FUN_005756-T1
OG0009117	AH001152-RA	FUN_026626-T1
OG0009118	AH015751-RA, AH019381-RA	FUN_030915-T1, FUN_030915-T3, FUN_030915-T2
OG0009119	AH010254-RA	FUN_046794-T1
OG0009121	AH018227-RA	FUN_041367-T1
OG0009122	AH016613-RA	FUN_016917-T1, FUN_029688-T1
OG0009123	AH018768-RA	FUN_017971-T1
OG0009124	AH016221-RA	FUN_047447-T1
OG0009125	AH002844-RA	FUN_011118-T1, FUN_011118-T2
OG0009126	AH013966-RA	FUN_041442-T2, FUN_041442-T1
OG0009127	AH018213-RA	FUN_017412-T1, FUN_017412-T2
OG0009128	AH022789-RA, AH016581-RA	FUN_016812-T1
